Hotel,Liked,Disliked,Score
Salena Beach Hotel,I loved it all.,I loved it all.,10.0
Salena Beach Hotel,Breakfast has exceeded our expectations. They always waited for everyone to have breakfast and coffee even after the appointed hour. Very friendly staff. A peaceful atmosphere for our stay. The pool was always clean.,"Room size, triple size is a pretty tight space. The entrance doors to the rooms are thin as everything can be heard from the corridor. The balcony is very small-- in the sense of chair and dryer you have to choose which one to use. If you want to use your coffee balcony, the air conditioning is over your head. I shouldn't have to declare the balcony an asset.",9.2
Salena Beach Hotel,"We liked the location of the hotel, the presence of an elevator. Good breakfast, replenished at all times.","Dirty dishes, apparently we had a different room than the one in the contract. We were supposed to have a room overlooking the pool and twin beds. We did not see the pool and the beds were two next to each other and another, probably an extra bed.",9.2
Salena Beach Hotel,Locate. Pool. The kitchen is good.,"There is no safety deposit box at reception. The bathroom drain doesn't run well. There's no tilt in the bathroom, and it's a puddle.",5.8
Salena Beach Hotel,"METHOD , COMFORT , PENSONAL, FOOD",,10.0
Salena Beach Hotel,The only good thing is the pool.,"We had booked a triple room with a bedroom and a single bed, and they didn't provide two beds together and a sofa bed. The mattresses were opening, they were falling. There's no Wi-Fi at all, except for the pool, and that's if you ask for a password you can't remember unless you get one of the staff to fill you in. Breakfast was a regular breakfast every day. My score is 2*",3.8
Salena Beach Hotel,"Clean, comfortable, delicious cuisine, the beach (the cleanest of all that is nearby) and very affordable prices.","The employees did not save the payment receipt, they offered to pay a second time, but after providing information from the bank (mobile application) about payment, they apologized. The room was cleaned on the third day after arrival and no longer steamed.",9.6
Salena Beach Hotel,"The willingness of the staff, the helpfulness from the cleaning lady Anička to the hotel manager without ERRORS. We will be back next year.","Maybe just a menu in Czech ......, but we still agreed :-)))))))",9.6
Salena Beach Hotel,Near the beach. Quiet and quiet.,There's no mosquito on the terrace and mosquitoes have been in. The sink's crank is not fixed properly. The shower headset is spraying on the sides.,7.9
Salena Beach Hotel,,Bathroom,9.0
Salena Beach Hotel,"The hotel has a great pool with separate children’s areas. This is where your child will always make new friends, and happy children make their parents happy. The hotel staff are friendly and helpful and smiling young people and the atmosphere created by their good organisation and communication is very good.",,10.0
Salena Beach Hotel,"The pool, the staff attitude.",,10.0
La Casa Primorsko,"Very friendly and helpful staff. Kept the apartment clean and addressed all our additional requests. The view from our rooms was beautiful. Each of the two rooms in the apartment had its own shower, AC unit, TV..Primorsko was a great beach resort experience, in general, for our family of 4. Amazing sand beaches and crystal clear waters - no need for goggles because water salinity is just right. The kids spent hours in the water..",,10.0
La Casa Primorsko,"Very clean, lovely view, parking close to the hotel, the owner was super kind!.",,10.0
La Casa Primorsko,"Great location and neighborhood! Calm and comfortable  with wonderful view to sea. Manager is very friendly , polite and helped us with all queries. The hotel turns to be one of our favorite location at Black sea, and we would visit it again for sure..",,10.0
La Casa Primorsko,"Breathtaking views, amazing atmosphere, helpful host. We had everything we needed for a magical long weekend..",,10.0
La Casa Primorsko,"The administrator, rooms,  peintures on the walls (amazing ! ), the view, quiet area, beach, and more....","I would have liked more utensils in the kitchenette: toaster, microwave, etc.",9.0
La Casa Primorsko,"- location: close to the sea and to city center area but far enough from downtown city noise.- clean & large rooms, well maintained apartment, functional and clean bathroom (hot water provided via large electric boiler installed in bathroom) with great water pressure;.- spacious apartment enough for a familly of 4 and excellent for 2 persons in case you'll wish larger space; the kitchinette were you can find all you'll need (4 eyes electric induction plate, eletric kettle, 4 sear table, mid size fridge with small freezer, glasses, cups, dishess, cuttleries) is sharing the same room with one of the sleepjng areas;.- large balcony with full/partial view towards the sea (table with 2 chairs) and towards the main Primorsko northern beach.- closeby public parking places free of charge.- room service (cleaning and towels replacment) every 2/3 days included in room price;.- air con in each room .- rooms fitted with large closets where you can store your things and in each room we had one desks& chair in case you'll need to work; 2 flat screens & wifi (16 Mbs download/10 mbs upload wifi internet connection (fluctuating :)).- plenty of 220V sockets in each room.- welcoming host which speaks English and listents to your requests if you need something (sun umbrellas, etc).- disinfectants available at the entrance area (COVID-19).","- no elevator although we could carry our luggage to the 3rd floor.- mild mold smell in the main entrance area of the building coming from the lower floor; on the upper floors there were no dubious smell at all, very clean!.",9.0
La Casa Primorsko,"Excellent views from the balconies, spacious apartments with all necessary kitchen items. Great for art people - lots of paintings on the walls..",No lift unfortunately..,9.0
La Casa Primorsko,Spacious apartment with nicely furnished rooms. All necessary amenities..,One of the two bathrooms was unusable due to a technical problem. It was not fixed during our stay..,9.6
La Casa Primorsko,The best place and the best view!.,Everything is perfect.,10.0
La Casa Primorsko,Excelent location. Very big and clean rooms..,It was good exercise but older people or people with much luggage must bite that there is no lift to the rooms on the fifth floor..,9.2
La Casa Primorsko,"The most I liked was relaxing sound from the sea especially in the night time and the most clean hotel I visited 😊This hotel is really great, very comfortable, beautiful view from the balcony, air conditioner in each room,everything is new,just 2 minutes walk to the beach,10 minutes walk to the town centre where is many shops restaurants and lots of activities. Very nice owner. Highly  recommended 😊😊.","I didn't find anything not to like, everything was perfect..",10.0
La Casa Primorsko,Lovely space to be.Comfortable and huge living space.Right on the see side.,,10.0
La Casa Primorsko,great location.,Washing machine and oven was not working.  No reception desk in the building..,5.4
La Casa Primorsko,"It was clean, well organized, the staff was friendly..","It was advertised as one couch and two double beds, there were two rather small double beds and no couch..",6.2
La Casa Primorsko,Very good location.,,8.8
La Casa Primorsko,"It's been a long time since I've seen what I saw in the photos and seen in person at the property. The apartment was very nice, clean and well-furnished. There was no furniture to spare and it was very spacious. The location is ideal as it is in a quiet part of Primorsko, restaurants are nearby, the beach is close by. The hosts themselves are extremely friendly and helpful people.",,10.0
La Casa Primorsko,"Perfect service. The number, comfortable, functional. The quiet place has a great view.",No notes.,10.0
La Casa Primorsko,"It's a beautiful apartment. Spacious and clean. There are air conditioning, plenty of chairs and TVs in each room. We were in a two-bedroom apartment. The sea view is very good, the sound of the waves... the rest of which we have no objections.","There are many things that could be touched with more care to make the client's vacation complete. The dish in the kitchen was desperately small, no knife to cut, just two teacups, plastic bowls. And these are things that are not worth much... I find it insane to have so many cupboards in the kitchen, but empty... the ventilation of the building is desperate, in our (otherwise very good apartment) morning it smelled through the fry absorber and in the evening it smelled like fried fish. The smell of fish was so strong, it smelled all over the room, and clothes and so on. n. Which is pretty annoying because you didn't even fry it, because there was no frying pan in the kitchen... and the horrible smell that  you're smelling coming into the building, sewage and mold... that ruins the otherwise beautifully arranged corridors and there's no way to.....You're standing around looking at the paintings... lack of parking.",8.0
La Casa Primorsko,"Great location, quiet and pleasant place to relax.",,10.0
La Casa Primorsko,"A beautiful, quiet place.  We had an unforgettable vacation. The hotel is located in a quiet street away from the noisy pubs. The terrace was very nice and offers sea views. The cleanliness was impeccable. The hosts have been very cooperative.  We'd love to visit La Casa Primorsko again.",,10.0
La Casa Primorsko,"The rooms were very large and the bedrooms were comfortable. I liked that there were 2 bathrooms and 2 terraces. From the two terraces of both rooms, the view was just amazing - with sea view! It was all very clean and the host was very kind! Although there was no parking, there was a public free car park with many spaces right next to the hotel. I recommend two hands, we had more than perfect!",,10.0
La Casa Primorsko,"It was quiet and cosy, right on the beach. The host was helpful and smiling, and the rooms were large and spacious.",,9.0
La Casa Primorsko,The rooms were comfortable and clean. The view was very beautiful. The hotel is in a great location.,"The hotel does not offer parking spaces for all guests/rooms, which is a serious problem in a crowded resort such as Primorsko.",9.0
La Casa Primorsko,"It's a beautiful place, right on the beach. Quiet and peaceful, close to the beach and dining options. Spacious, clean and furnished with all the amenities you need. It's a beautiful sight. I highly recommend it!",,10.0
La Casa Primorsko,"Unbelievable location/ on a quiet street away from the evening’s noisy centre, and in fact 5 minutes from the hotel and a panoramic view from each terrace. The hotel is mindful of a pleasant holiday, with all comforts, pleasant interiors and space. Daily housekeeping service, sheets and towels are changed every 2 days. Friendly staff. .Visit this incredible pearl.",,10.0
La Casa Primorsko,"Everything's perfect!.Again, great thanks!",,10.0
La Casa Primorsko,We were in a lovely two-room apartment with a lovely view of the sea. A very clean and pleasant place!,He's having trouble finding a parking spot.,9.0
La Casa Primorsko,"Beautiful, quiet, very clean place. Spacious and very comfortable apartment with great views. Just off the beach.",,10.0
La Casa Primorsko,"Perfect location. It is close to North Beach and the promenade. The apartment had a great view of the sea. A pleasant place, very quiet, only the noise of the sea in the evening, no noisy venues or attractions nearby.","The chairs on the terrace were a little uncomfortable, maybe it would be good to change, we were taking out the chairs.",9.0
La Casa Primorsko,"The hotel is in a quiet location, yet close to the pedestrian promenade, restaurants, beach",,10.0
La Casa Primorsko,Great views and location - close to seaside restaurants and the beach. We were in a two-bedroom apartment with two bathrooms. They cleaned every day and changed bed linen and towels every three days. The manager is extremely cooperative and responds immediately to the situation..I recommend families!,There was a sewer smell in the corridors of the building.,10.0
La Casa Primorsko,"This place is only written in superlatives.Everything is in the right height and attitude and convenience and cleanliness and hotel location with fantastic views in the most pleasant part of the city.The most explicit proof that a man has been happy to be somewhere is whether he would book again, and that applies to us with all of his might!",There's no such thing.,10.0
La Casa Primorsko,"Great sea view. Rooms are cleaned daily. The manager is very kind and has us checked in earlier than check-in. In a very peaceful area, it is close to the north beach and not far from the centre.",No elevator,10.0
La Casa Primorsko,"Close to the beach, location",,8.0
La Casa Primorsko,Very good location. Very spacious apartment. Balconies to the west and east respectively. Very clean.,,9.0
La Casa Primorsko,Everything,,10.0
La Casa Primorsko,"The apartments are located in the best location in Primorsko, in my opinion. Far from the asylum, but a few minutes from the beach and good places. Great view and... quiet. At night, you can only hear the sound of the sea. Well-equipped. Linen and towels are changed every 3 days. I recommend it!","The only downside, if you can say so, is that you can't pay with a card.",9.0
La Casa Primorsko,The view and the tranquility.,Slight details related to room hygiene and bathroom amenities. I would recommend a microwave in the rooms.,9.0
La Casa Primorsko,"The beautiful view, the comfort, the hotel's location, the beautiful paintings that create the mood.",,9.0
La Casa Primorsko,"Great view, it was cozy and very clean!",Everything was perfect!,10.0
La Casa Primorsko,The host was expecting us!,,10.0
La Casa Primorsko,Everything was great!,A laundromat would have made it a lot easier.,9.0
La Casa Primorsko,"The location and the view are amazing. Choose the upper floors, you won't regret it...",,10.0
La Casa Primorsko,The view from the apartments is great! The location is peaceful but far from the centre and beaches. Our hostel has been extremely friendly and the hotel's facilities and artistic atmosphere make you feel at home.,- There's nothing specific.,9.0
La Casa Primorsko,"The best accommodation you can find in Primorsko, from what I have tried over the years. Pleasant hosts to speak with him in English, friendly staff, still very clean.","Less comfortable chairs on the terrace, if there was better seating, I would not even leave the terrace :), such an amazing view was there.",10.0
La Casa Primorsko,"It's a unique view. A clean, very quiet place. The manager is a very decent and intelligent man, cleaning women absolutely correct and kind. Very pleasant, stylish and clean environment. We'll visit again.","There's no elevator for the high floors, no parking, air conditioning in some rooms is set to shut down quickly and not cool well, but this is only one room we noticed, and it was the warmest, so it could only be in this room. There was no wi-fi in this same room",8.0
La Casa Primorsko,"Admissions to the owner, the manager and all the staff!.Unique decor! It's all done with a lot of thought and desire! Keep going, keep going!.We wish you all the best health, personal happiness and success!",,10.0
