,Unnamed: 0,Hotel,Liked,Disliked,Score,Combined comment
10,10,Sofia Palace Hotel by HMG,Quiet Neighborhood.5 minutes walk from Centre .Helpful night shift Reception.,,9.0,Quiet Neighborhood.5 minutes walk from Centre .Helpful night shift Reception. 
11,11,Sofia Palace Hotel by HMG,the staff was really available and useful and they helped us solving some particular needs.,,7.0,the staff was really available and useful and they helped us solving some particular needs. 
12,12,Sofia Palace Hotel by HMG,the location is perfect.,nothing.,8.0,the location is perfect. nothing.
13,13,Sofia Palace Hotel by HMG,the room was spacious and the location great..,very basic furniture.,8.0,the room was spacious and the location great.. very basic furniture.
14,14,Sofia Palace Hotel by HMG,"Staff was very friendly, trying to help with everything..Location is convenient in the centre of the city.",Not sure it could be rated as 4 stars hotel.,7.0,"Staff was very friendly, trying to help with everything..Location is convenient in the centre of the city. Not sure it could be rated as 4 stars hotel."
15,15,Sofia Palace Hotel by HMG,Proximity of Vitosha street and Serdika metro station was a key to explore Sofia. The room we had was very comfy and the staff we met was very welcoming with a great smile. Parking is worth paying (extra 10 euros per night) because it's in a closed and heated garage..,"Breakfast was very tasteless so it's better to go to a local bakery. The elevator could use some cleaning..Toilet amenities like shampoo and soap were provided for one person and we didn't get new ones for the second night so it was a stretch in the end..""City view"" was broken by a filthy window and the room is actually looking across the street so there's nothing to see..",7.0,"Proximity of Vitosha street and Serdika metro station was a key to explore Sofia. The room we had was very comfy and the staff we met was very welcoming with a great smile. Parking is worth paying (extra 10 euros per night) because it's in a closed and heated garage.. Breakfast was very tasteless so it's better to go to a local bakery. The elevator could use some cleaning..Toilet amenities like shampoo and soap were provided for one person and we didn't get new ones for the second night so it was a stretch in the end..""City view"" was broken by a filthy window and the room is actually looking across the street so there's nothing to see.."
16,16,Sofia Palace Hotel by HMG,"Bathroom, good bed..",Garage has limited spaces. It is advised to check availability before you make reservation..,9.0,"Bathroom, good bed.. Garage has limited spaces. It is advised to check availability before you make reservation.."
17,17,Sofia Palace Hotel by HMG,the property was good for the money with good location (even if a little hard to find it due to near constructions)..,the pillows were a little to hard and the breakfast was not so good.,9.0,the property was good for the money with good location (even if a little hard to find it due to near constructions).. the pillows were a little to hard and the breakfast was not so good.
18,18,Sofia Palace Hotel by HMG,"Value for money! Comfortable bed, very good wifi connection, desk in the bedroom, spacious apartment & studio. The reception desk team was very kind and helpful! Breakfast was simple, but fresh and delicious!.","The window in our apartment didn’t close, so we had to stay in a studio for a night. It was fixed the next day, however the room was no cleaned during the day and when we transferred there in the evening there was dust & trash around the window (where it was repaired). The sheets were old and broken in few places (but they were clean and smelled really nice). In the apartment there was kitchenette, however nothing we can use for cooking (no cutlery as well, nothing to wash the dishes with)..",7.0,"Value for money! Comfortable bed, very good wifi connection, desk in the bedroom, spacious apartment & studio. The reception desk team was very kind and helpful! Breakfast was simple, but fresh and delicious!. The window in our apartment didn’t close, so we had to stay in a studio for a night. It was fixed the next day, however the room was no cleaned during the day and when we transferred there in the evening there was dust & trash around the window (where it was repaired). The sheets were old and broken in few places (but they were clean and smelled really nice). In the apartment there was kitchenette, however nothing we can use for cooking (no cutlery as well, nothing to wash the dishes with).."
19,19,Sofia Palace Hotel by HMG,"The location was amazing, very close to popular streets.Value for money room, especially taking into consideration the size of the room.Stuff was willing to help always and very kind.",Room could be cleaner (especially the WC).,8.0,"The location was amazing, very close to popular streets.Value for money room, especially taking into consideration the size of the room.Stuff was willing to help always and very kind. Room could be cleaner (especially the WC)."
20,20,Sofia Palace Hotel by HMG,"Bed is very comfy, clean room and very warm. Close to the city centre and metro..","No usb cable to charge the phone. No kitchen appliances, unfortunately. The floor in the bathroom floating when taking the shower - disaster… we needed three towels to wipe the water. It is dangerous when you have a little children as floor is still very slippery for a while. Very uncomfortable sofa bed in living room..",7.0,"Bed is very comfy, clean room and very warm. Close to the city centre and metro.. No usb cable to charge the phone. No kitchen appliances, unfortunately. The floor in the bathroom floating when taking the shower - disaster… we needed three towels to wipe the water. It is dangerous when you have a little children as floor is still very slippery for a while. Very uncomfortable sofa bed in living room.."
21,21,Sofia Palace Hotel by HMG,"Location is great, breakfast was fine also. We have visited the hotel previously and always enjoyed it. .Reception is open 24h, which also makes it quite convenient. You can always find a parking place easily around and closely..",We had a bedsheet that was torn in the middle..There was hair at 5 spots on our made bed..,7.0,"Location is great, breakfast was fine also. We have visited the hotel previously and always enjoyed it. .Reception is open 24h, which also makes it quite convenient. You can always find a parking place easily around and closely.. We had a bedsheet that was torn in the middle..There was hair at 5 spots on our made bed.."
22,22,Sofia Palace Hotel by HMG,Location is perfect.,Not so spacy and not a good breakfast.,8.0,Location is perfect. Not so spacy and not a good breakfast.
23,23,Sofia Palace Hotel by HMG,staff very helpful.good location.breakfast very basic.,"hotel little old, may need renovation.",8.0,"staff very helpful.good location.breakfast very basic. hotel little old, may need renovation."
24,24,Sofia Palace Hotel by HMG,"Room was  nice, clean, bright with a good bed. Location is perfect, exactly where I needed. .Breakfast is nice for the price..","I would like to have slippers there, but unfortunately they were not included.",7.0,"Room was  nice, clean, bright with a good bed. Location is perfect, exactly where I needed. .Breakfast is nice for the price.. I would like to have slippers there, but unfortunately they were not included."
25,25,Sofia Palace Hotel by HMG,"Good value for money, close to the metro station, easy to get there from SOF airport..",It would have been much better to verify Covid passports during check-in to ensure that all hotel guests hold it and then allow them to have a breakfast in the restaurant instead of going with a trolley and knocking at the door in the morning (very noisy and irritating experience). The breakfast options not so good. A surrounding area not so pleasant either..,7.0,"Good value for money, close to the metro station, easy to get there from SOF airport.. It would have been much better to verify Covid passports during check-in to ensure that all hotel guests hold it and then allow them to have a breakfast in the restaurant instead of going with a trolley and knocking at the door in the morning (very noisy and irritating experience). The breakfast options not so good. A surrounding area not so pleasant either.."
26,26,Sofia Palace Hotel by HMG,"I was meeting a friend, so the location was very good..","Reception unmanned on arrival, parking was very tight. My room was too hot even with the window open..",7.0,"I was meeting a friend, so the location was very good.. Reception unmanned on arrival, parking was very tight. My room was too hot even with the window open.."
27,27,Sofia Palace Hotel by HMG,Superb location and staff was brilliant. Also room size was good with a great breakfast. Beds very comfortable too..,I don't think that room was cleaned properly. We personally found the bathroom filthy..,8.0,Superb location and staff was brilliant. Also room size was good with a great breakfast. Beds very comfortable too.. I don't think that room was cleaned properly. We personally found the bathroom filthy..
28,28,Sofia Palace Hotel by HMG,"Good location, quiet surroundings..",The staff are really helpful but they don’t use face masks at all. Covid-19’s still “a thing “ ….,8.0,"Good location, quiet surroundings.. The staff are really helpful but they don’t use face masks at all. Covid-19’s still “a thing “ …."
29,29,Sofia Palace Hotel by HMG,"The old Bon Bon Central hotel with new owners. Perfect location with very nice, kind and helpful staff. Good breakfast and very good overall value for money. Safe parking in hotel garage is a huge plus. Excellent wifi..",The routine of sending in room maid police for checking if you have stolen from the minibar is hopelessly oldfashioned.when you give all info yourself at checkout and the hotel has card details..,8.0,"The old Bon Bon Central hotel with new owners. Perfect location with very nice, kind and helpful staff. Good breakfast and very good overall value for money. Safe parking in hotel garage is a huge plus. Excellent wifi.. The routine of sending in room maid police for checking if you have stolen from the minibar is hopelessly oldfashioned.when you give all info yourself at checkout and the hotel has card details.."
30,30,Sofia Palace Hotel by HMG,"Spacious and quiet room. Friendly, 24/7 reception. Comfortable bed..","For what you get, it's a bit pricey. (I've stayed in another hotel in Sofia, which was about 50% less expensive but not 50% worse.).",8.0,"Spacious and quiet room. Friendly, 24/7 reception. Comfortable bed.. For what you get, it's a bit pricey. (I've stayed in another hotel in Sofia, which was about 50% less expensive but not 50% worse.)."
31,31,Sofia Palace Hotel by HMG,Location and warming system..,Poor breakfast and breakfast room. the lift is unsufficient for its use.,8.0,Location and warming system.. Poor breakfast and breakfast room. the lift is unsufficient for its use.
32,32,Sofia Palace Hotel by HMG,"The best part is the location, as you are in the central part of Sofia. You are right next to the busiest street - Vitosha, which has a ton of restaurants and cafes. There’s also a metro station nearby..",,8.0,"The best part is the location, as you are in the central part of Sofia. You are right next to the busiest street - Vitosha, which has a ton of restaurants and cafes. There’s also a metro station nearby.. "
33,33,Sofia Palace Hotel by HMG,"Very good location near city centre, quite neighborhood, friendly staff.",I had to ask for new towels during my 5 days stay..,9.0,"Very good location near city centre, quite neighborhood, friendly staff. I had to ask for new towels during my 5 days stay.."
34,34,Sofia Palace Hotel by HMG,"Location is excellent , within walking distance from everything, but on a quiet street so no noise. Very spacious and was nice to have the extra space of 2 rooms.","A few basics are missing , like a box of tissues or paper napkins. No point in the kitchenette when  it was completely bare: there was not even a spoon or plate. No cutlery for breakfast either, they forgot to  give us any for breakfast in the room 2 days in a row..",7.0,"Location is excellent , within walking distance from everything, but on a quiet street so no noise. Very spacious and was nice to have the extra space of 2 rooms. A few basics are missing , like a box of tissues or paper napkins. No point in the kitchenette when  it was completely bare: there was not even a spoon or plate. No cutlery for breakfast either, they forgot to  give us any for breakfast in the room 2 days in a row.."
35,35,Sofia Palace Hotel by HMG,The location.,Breakfast. Only one small towel by person..,7.0,The location. Breakfast. Only one small towel by person..
36,36,Sofia Palace Hotel by HMG,,.Disliked  · Room not properly cleaned.,8.0, .Disliked  · Room not properly cleaned.
37,37,Sofia Palace Hotel by HMG,The position in the city center.,,9.0,The position in the city center. 
38,38,Sofia Palace Hotel by HMG,Ok.,Ok.,7.0,Ok. Ok.
39,39,Sofia Palace Hotel by HMG,Decent buffet.,Horrible coffee.,7.0,Decent buffet. Horrible coffee.
40,40,Sofia Palace Hotel by HMG,"Great location at the center of the town..Very small but safe garage at the basement of the building (extra fee)..Nice, bright room, all needed facilities included.  .There was a big window in the room that you could open it and get some fresh air..Breakfast was descent but served in a small room..","Antiseptic at the entrance of the breakfast room was over. .Dirty carpet in the room, we even found small chocolate pieces. .NOBODY of the personnel where wearing face masks to protect against coronovirus. .Generaly the certain country goes on as if there is no pandemic..",7.0,"Great location at the center of the town..Very small but safe garage at the basement of the building (extra fee)..Nice, bright room, all needed facilities included.  .There was a big window in the room that you could open it and get some fresh air..Breakfast was descent but served in a small room.. Antiseptic at the entrance of the breakfast room was over. .Dirty carpet in the room, we even found small chocolate pieces. .NOBODY of the personnel where wearing face masks to protect against coronovirus. .Generaly the certain country goes on as if there is no pandemic.."
41,41,Sofia Palace Hotel by HMG,"Tidy, clean and central. Adjoined onto a great and subtle movie restaurant..",,8.0,"Tidy, clean and central. Adjoined onto a great and subtle movie restaurant.. "
42,42,Sofia Palace Hotel by HMG,,.Disliked  · No parking availability.,8.0, .Disliked  · No parking availability.
43,43,Sofia Palace Hotel by HMG,the room was very nicely done .toilet was clean with clean towel .excellent comfortable.,our feets were brown when we walk through the carpet.,9.0,the room was very nicely done .toilet was clean with clean towel .excellent comfortable. our feets were brown when we walk through the carpet.
44,44,Sofia Palace Hotel by HMG,Stayed for just one night. The hotel and the room were very tidy and comfortable. The staff was extraordinary friendly and helpful!.,,9.0,Stayed for just one night. The hotel and the room were very tidy and comfortable. The staff was extraordinary friendly and helpful!. 
45,45,Sofia Palace Hotel by HMG,"Exceptional position, helpful staff, clean and well organized.",,9.0,"Exceptional position, helpful staff, clean and well organized. "
46,46,Sofia Palace Hotel by HMG,"Location, gym..",,8.0,"Location, gym.. "
47,47,Sofia Palace Hotel by HMG,"Large room, close to city centre. Quiet overall. Good TV selection with English TV available. Breakfast was good overall, a bit of everything. 5 mins from main street. Staff helpful..",Nil..,9.0,"Large room, close to city centre. Quiet overall. Good TV selection with English TV available. Breakfast was good overall, a bit of everything. 5 mins from main street. Staff helpful.. Nil.."
48,48,Sofia Palace Hotel by HMG,"Very good location, in the center of rhe city. Big rooms, nice staff.",The sofa wasn't confortable to sleep in and the room shoupd have some renovations at the carpet and at the bathroom..,8.0,"Very good location, in the center of rhe city. Big rooms, nice staff. The sofa wasn't confortable to sleep in and the room shoupd have some renovations at the carpet and at the bathroom.."
49,49,Sofia Palace Hotel by HMG,"Good location, large room..","Small garage, difficult to park the car..",8.0,"Good location, large room.. Small garage, difficult to park the car.."
50,50,Sofia Palace Hotel by HMG,Location. Close to the city center and restaurants..,The underground parking. It is to tight and could be challenging if you have a SUV. Moreover there are more public parking places on the street. Also the location for the breakfast is very small for all the hotel guests and the fitness room is a “joke”.,8.0,Location. Close to the city center and restaurants.. The underground parking. It is to tight and could be challenging if you have a SUV. Moreover there are more public parking places on the street. Also the location for the breakfast is very small for all the hotel guests and the fitness room is a “joke”.
51,51,Sofia Palace Hotel by HMG,"The place is conveniently located in the centre of Sofia, less than 10 mins walk from the Serdika metro station, and a few minutes from Vitosha Boulevard..Room is comfortable and quiet, the staff is nice and the breakfast is good and with a lot of choices..Good for one night stay to the transportation..","I was just disappointed because the room and the hotel in general look way less pretty than in the glamoured pictures. The design is quite old and dark, and the room view was on the internal side which looked quite industrial and rough (it was specified in the booking that the view was internal, but of course one can't expect what is really about)..",7.0,"The place is conveniently located in the centre of Sofia, less than 10 mins walk from the Serdika metro station, and a few minutes from Vitosha Boulevard..Room is comfortable and quiet, the staff is nice and the breakfast is good and with a lot of choices..Good for one night stay to the transportation.. I was just disappointed because the room and the hotel in general look way less pretty than in the glamoured pictures. The design is quite old and dark, and the room view was on the internal side which looked quite industrial and rough (it was specified in the booking that the view was internal, but of course one can't expect what is really about).."
52,52,Sofia Palace Hotel by HMG,Breakfast was amazing and the room was clean and nice. The evening receptionist..,I didn't like one of the receptionist during the day. She was not friendly in her talks and her grumpy aditude. she let us check in earlier  that was nice but no eye contact and i needed to confirm if we are good to go because she was right away back to her phone.  .The evening receptionist was very helpful and friendly..,8.0,Breakfast was amazing and the room was clean and nice. The evening receptionist.. I didn't like one of the receptionist during the day. She was not friendly in her talks and her grumpy aditude. she let us check in earlier  that was nice but no eye contact and i needed to confirm if we are good to go because she was right away back to her phone.  .The evening receptionist was very helpful and friendly..
53,53,Sofia Palace Hotel by HMG,,".Disliked  · The parking is not so good. Just a basement, really. Particulary difficult if you have a bigger car. The GPS also makes it difficult to locate it.",7.0," .Disliked  · The parking is not so good. Just a basement, really. Particulary difficult if you have a bigger car. The GPS also makes it difficult to locate it."
54,54,Sofia Palace Hotel by HMG,Location is walking distance to Metro Station..,"The advertised Massage, sauna and related services doesn't exist. There is only 1 small elevator used by customers and staff..",7.0,"Location is walking distance to Metro Station.. The advertised Massage, sauna and related services doesn't exist. There is only 1 small elevator used by customers and staff.."
55,55,Sofia Palace Hotel by HMG,"Located down town, we could visit the city without the use of transportation..",No free parking on sight. It was full although it was not for free. No good instructions in English on the parkings around the hotel made us pay 3 times the price of the parking!.,7.0,"Located down town, we could visit the city without the use of transportation.. No free parking on sight. It was full although it was not for free. No good instructions in English on the parkings around the hotel made us pay 3 times the price of the parking!."
56,56,Sofia Palace Hotel by HMG,The room was as described on the booking site.  Location of the hotel is great for visiting Sofia. Room was clean and comfortable..,Everything was fine..,9.0,The room was as described on the booking site.  Location of the hotel is great for visiting Sofia. Room was clean and comfortable.. Everything was fine..
57,57,Sofia Palace Hotel by HMG,"The staff was very polite and welcoming, the room was clean, the location to the city center..","The breakfast area is very small, with few tables. Also there are no mugs for coffee, only cartboard cups..",8.0,"The staff was very polite and welcoming, the room was clean, the location to the city center.. The breakfast area is very small, with few tables. Also there are no mugs for coffee, only cartboard cups.."
58,58,Sofia Palace Hotel by HMG,"Nice hotel, close to the city center in Sofia. The room was comfortable, clean and quite. The breakfast was essential but nice, sweat and salt. The receptionist we met in the afternoon was kind..",The breakfast room was a little bit small for all the host in Covid time. Considering they own a restaurant in the hotel it should be better to host the breakfast there..,8.0,"Nice hotel, close to the city center in Sofia. The room was comfortable, clean and quite. The breakfast was essential but nice, sweat and salt. The receptionist we met in the afternoon was kind.. The breakfast room was a little bit small for all the host in Covid time. Considering they own a restaurant in the hotel it should be better to host the breakfast there.."
59,59,Sofia Palace Hotel by HMG,"I had to shorten the stay for some reason, but that was no problem at all..",,9.0,"I had to shorten the stay for some reason, but that was no problem at all.. "
60,60,Sofia Palace Hotel by HMG,"Very central but quiet. Huge comfortable bed, even for someone tall like me (200 cm/6'6""). Simple and fast check in, friendly staff..",Not much of a view.,9.0,"Very central but quiet. Huge comfortable bed, even for someone tall like me (200 cm/6'6""). Simple and fast check in, friendly staff.. Not much of a view."
61,61,Sofia Palace Hotel by HMG,"We had a large double room with comfortable bed and couch. Breakfast is good and is appropriate for a 3 star hotel. The staff was very helpful and friendly. We parked the car in front of the hotel as the underground parking was full at the late hour we arrived. Vitosha street is 5-minute walk away, with many restaurants..","The streets around the hotel are under construction, but otherwise central Sofia is a very pleasant city. Also is very difficult to arrive at hotel by car. We used navigation, we checked on Google Street view and ask by mail at the hotel the directions for the parking..",9.0,"We had a large double room with comfortable bed and couch. Breakfast is good and is appropriate for a 3 star hotel. The staff was very helpful and friendly. We parked the car in front of the hotel as the underground parking was full at the late hour we arrived. Vitosha street is 5-minute walk away, with many restaurants.. The streets around the hotel are under construction, but otherwise central Sofia is a very pleasant city. Also is very difficult to arrive at hotel by car. We used navigation, we checked on Google Street view and ask by mail at the hotel the directions for the parking.."
62,62,Sofia Palace Hotel by HMG,"Location is perfect, hotel has a garage but they gave me imprecise  instructions so I parked in wrong garage. Breakfast is OK for that money..Across the street  is a good  local restaurant..",Staff is ignorant and unkind..,7.0,"Location is perfect, hotel has a garage but they gave me imprecise  instructions so I parked in wrong garage. Breakfast is OK for that money..Across the street  is a good  local restaurant.. Staff is ignorant and unkind.."
63,63,Sofia Palace Hotel by HMG,Close to Vitosha.Private parking.Very good staff.,Nothing.,9.0,Close to Vitosha.Private parking.Very good staff. Nothing.
64,64,Sofia Palace Hotel by HMG,"Nice breakfast, clean room and cozy bed. Very convenient location..",No serious anti-covid measures..,8.0,"Nice breakfast, clean room and cozy bed. Very convenient location.. No serious anti-covid measures.."
65,65,Sofia Palace Hotel by HMG,"Well situated, close to Vitocha street! .Room was big and clean!.",Breakfast was plenty of choice and good but the breakfast room ( inside a meeting room) is not really convenient.,8.0,"Well situated, close to Vitocha street! .Room was big and clean!. Breakfast was plenty of choice and good but the breakfast room ( inside a meeting room) is not really convenient."
66,66,Sofia Palace Hotel by HMG,,".Disliked  · Breakfast is very poor, all ""hot sandwiches"" was really cold. When come to 9:30 food almost finished..All receptionist answers about tourist places was wrong..",7.0," .Disliked  · Breakfast is very poor, all ""hot sandwiches"" was really cold. When come to 9:30 food almost finished..All receptionist answers about tourist places was wrong.."
67,67,Sofia Palace Hotel by HMG,All else was fine.,We had troubles with the door.,7.0,All else was fine. We had troubles with the door.
68,68,Sofia Palace Hotel by HMG,Great location .Nice room.,Breakfast room too crowded.,8.0,Great location .Nice room. Breakfast room too crowded.
69,69,Sofia Palace Hotel by HMG,The hotel is placed relatively close to the main attractions in the city centre. Rooms are clean and generally nice..,"There is a lot of road works next to the hotel currently, making it more difficult to access..",7.0,"The hotel is placed relatively close to the main attractions in the city centre. Rooms are clean and generally nice.. There is a lot of road works next to the hotel currently, making it more difficult to access.."
70,70,Sofia Palace Hotel by HMG,"The property is very good and it offers reasonable level of comfort in great location. At first, a guest should orientate himself/herself around the neighborhood and soon will realize that the property is within 600 meters from Serdika metro station and some 400 meters from the most prestigious Sofia's streets - Vitosha Boulevard. The breakfast is very good and varied, offered in buffet style. Room itself is spacious and bright with good bathroom..","Beside overall very good qualities, there are two deficiencies that lowered the quality of my stay. The first one is noise that was produced by the outer unit of the air conditioning system in the nearby building. This is not a fault of the hotel, but it really disturbs at the night time if the windows are open. The second one is the breakfast room that is somewhat claustrophobic due to its small size and the lack of windows..",8.0,"The property is very good and it offers reasonable level of comfort in great location. At first, a guest should orientate himself/herself around the neighborhood and soon will realize that the property is within 600 meters from Serdika metro station and some 400 meters from the most prestigious Sofia's streets - Vitosha Boulevard. The breakfast is very good and varied, offered in buffet style. Room itself is spacious and bright with good bathroom.. Beside overall very good qualities, there are two deficiencies that lowered the quality of my stay. The first one is noise that was produced by the outer unit of the air conditioning system in the nearby building. This is not a fault of the hotel, but it really disturbs at the night time if the windows are open. The second one is the breakfast room that is somewhat claustrophobic due to its small size and the lack of windows.."
71,71,Sofia Palace Hotel by HMG,Room  was clean and nice.,Missing noise isolation - I could hear the neighbours talking early in the morning and waking me up.,7.0,Room  was clean and nice. Missing noise isolation - I could hear the neighbours talking early in the morning and waking me up.
72,72,Sofia Palace Hotel by HMG,"Central location, walking distance from pedestrian areas. Night time reception staff was very helpful to solve door issue (door wouldn’t lock). Great nightly rate made it value for money..",Breakfast room has no windows and feels a little claustrophobic. None of the staff I’ve seen around the hotel were wearing a mask..,7.0,"Central location, walking distance from pedestrian areas. Night time reception staff was very helpful to solve door issue (door wouldn’t lock). Great nightly rate made it value for money.. Breakfast room has no windows and feels a little claustrophobic. None of the staff I’ve seen around the hotel were wearing a mask.."
73,73,Sofia Palace Hotel by HMG,Quiet Room. Very nice breakfast. Comfy bed. Cool air conditioning. Good minibar. Parking place in front of the hotel. Restaurant near by. Close to center location..,"Did not have double bed although confirmed in written, wanted to cancel but hotel offered a solution offering a free parking place. All came ot good in the end!.",8.0,"Quiet Room. Very nice breakfast. Comfy bed. Cool air conditioning. Good minibar. Parking place in front of the hotel. Restaurant near by. Close to center location.. Did not have double bed although confirmed in written, wanted to cancel but hotel offered a solution offering a free parking place. All came ot good in the end!."
74,74,Sofia Palace Hotel by HMG,Good xelection and well presented.,Nothing.,9.0,Good xelection and well presented. Nothing.
75,75,Sofia Palace Hotel by HMG,"Breakfast is poor for somebody who wants to be healthy. No wholewheat bread, lot of fat and processed food. Watermelon was great, besides that only cucumbers, olives and tomatoes. Nectarines were moldy inside, apples were soft and old..Great would be adding bananas, oranges, avocados, paprikas, whole wheat stuff, hummus..",Invoices by email would be great. More coffee on the room too..,7.0,"Breakfast is poor for somebody who wants to be healthy. No wholewheat bread, lot of fat and processed food. Watermelon was great, besides that only cucumbers, olives and tomatoes. Nectarines were moldy inside, apples were soft and old..Great would be adding bananas, oranges, avocados, paprikas, whole wheat stuff, hummus.. Invoices by email would be great. More coffee on the room too.."
76,76,Sofia Palace Hotel by HMG,"The staff was very helpful and understanding, bed was comfortable, room was clean, location is fair, overall good value for money.","I happened to go during a mild heat wave (it was around 34c during the day) and the Ari conditioning system was somewhat malfunctioning, if I had to go again in the summer I would find a place with better ac as I felt like it wasn’t cool in my room at all. I should mention that I reported it to the staff who sent a technician but it still didn’t make much of a difference..",7.0,"The staff was very helpful and understanding, bed was comfortable, room was clean, location is fair, overall good value for money. I happened to go during a mild heat wave (it was around 34c during the day) and the Ari conditioning system was somewhat malfunctioning, if I had to go again in the summer I would find a place with better ac as I felt like it wasn’t cool in my room at all. I should mention that I reported it to the staff who sent a technician but it still didn’t make much of a difference.."
77,77,Sofia Palace Hotel by HMG,Pleasant and helpful staff. Nice location. Just a few minutes walk to Vitosha Blvd..,The Romana restaurant closes early and staff can be rude. The roads around hotel are under repair..,8.0,Pleasant and helpful staff. Nice location. Just a few minutes walk to Vitosha Blvd.. The Romana restaurant closes early and staff can be rude. The roads around hotel are under repair..
78,78,Sofia Palace Hotel by HMG,Cleanliness and comfortable.,"Staff is poor in information, due to their support I paid 20 euros overnight using their parking recommendation. .Coffee maker was not working..",7.0,"Cleanliness and comfortable. Staff is poor in information, due to their support I paid 20 euros overnight using their parking recommendation. .Coffee maker was not working.."
79,79,Sofia Palace Hotel by HMG,"Good value for money, really good wifi, good location. Surprisingly good food at the restaurant next door..","The breakfast is served in a tiny windowless room, with zero hygiene measures. If you aren't claustrophobic yet, you will be after breakfast here. Tables aren't cleaned, they are 'swept' with an actual brush, and the just the cutlery replaced. Everyone touches all of the serving utensils at the breakfast bar. So if 1 person has covid, everyone in the hotel will have it. The cereal tasted like it had been left out since the Soviet era. No facilities other than your room, there's a bar/restaurant next door with pretty good food, but was closed on Sunday. The 2nd day the water stopped completely for most of the day. I dont think this is a 4 star hotel, compared to others I've stayed at - 3 at best. But still good value for money..",7.0,"Good value for money, really good wifi, good location. Surprisingly good food at the restaurant next door.. The breakfast is served in a tiny windowless room, with zero hygiene measures. If you aren't claustrophobic yet, you will be after breakfast here. Tables aren't cleaned, they are 'swept' with an actual brush, and the just the cutlery replaced. Everyone touches all of the serving utensils at the breakfast bar. So if 1 person has covid, everyone in the hotel will have it. The cereal tasted like it had been left out since the Soviet era. No facilities other than your room, there's a bar/restaurant next door with pretty good food, but was closed on Sunday. The 2nd day the water stopped completely for most of the day. I dont think this is a 4 star hotel, compared to others I've stayed at - 3 at best. But still good value for money.."
80,80,Sofia Palace Hotel by HMG,Big rooms..Friendly people..Good location..,No AC in the Gym..Breakfast could have been bretter..,9.0,Big rooms..Friendly people..Good location.. No AC in the Gym..Breakfast could have been bretter..
