Hotel,Liked,Disliked,Score
Hotel Jägerhof,"Very nice hotel, friendly staff, clean rooms, great service. The hotel is not on the city center but you can always take a taxi and the area is quiet, you have parking spot, a nice restaurant and a Jagerhof shop just across the street where you can buy snacks and drinks. Highly recommend!.",There’s no such thing :).,10.0
Hotel Jägerhof,"Very new and modern hotel. Nice design of the room and very clean. A big bathroom. .Very good food in the restaurant, and the best Jagerhof beer. .Excellent staff..",,10.0
Hotel Jägerhof,"Comfortable stay, well decorated, clean and fresh..",N/a.,10.0
Hotel Jägerhof,breakfast It was a great hot release and just in time for the scheduled time.,Nothing!.,10.0
Hotel Jägerhof,All. Expecially the cleanness.,Nothing.,10.0
Hotel Jägerhof,Best hotel for Plovdiv .Very very nice.,,10.0
Hotel Jägerhof,Was spoiled and taken care of like I was at home... Looked after and all of mine little needs..,,10.0
Hotel Jägerhof,"A real a super hotel! Very spacious and clean sound-proof room, with all comfort..Very helpfull and friendly staff; great room service as well..",,10.0
Hotel Jägerhof,New luxury great service.,Non.,10.0
Hotel Jägerhof,"Good, modern hotel, clean rooms.","Staff and hotel manager don't respect covid rules themselves. Expensive hotel for what you get. Breakfast buffet looks extensive, but a lot of dryish food, not fresh..",8.0
Hotel Jägerhof,"The customer service at the hotel is absolutely amazing! Employees are friendly and always ready to help you. The room was just lovely! Clean, nicely organized, spacious and overall great!.","We ordered room service, which came very quickly and the food was delicious except for one of the main dishes which was, unfortunately, a big disappointment. I would have loved it if there was a pool or a SPA center..",8.0
Hotel Jägerhof,"Very good hotel, rooms were excellent the facilities were very good.","The reception staff could be more helpful and friendly. We arrived at 12:30pm, and even the though the room was ready, we were told we could not go into the room unless we paid extra - that was very disappointing and poor service. They need to resolve for that - also, the reception staff could do with more training on being customer friendly.",8.0
Hotel Jägerhof,Proper hotel everything you can think off.,"Charger me for a door key card when I’ve lost it,, never happened before at any hotel before..",8.0
Hotel Jägerhof,An amazing hotel that is well decorated and has comfortable rooms with plenty of room.  The Breakfast is amazing with a lobby bar that offers delicious cocktails.  Mr. Ivan working the last shift at reception was kind and helpful.  Hristina working reception in the morning made sure we were well taken care of and happy..,"Some of the reception staff need training.  We arrived at check-in with friends, and Irena was confused about our booking with two rooms.  She was demanding my daughter's passport (hard to explain that she didn't have one).  Second, she didn't explain the available discount at the restaurant and so we missed out.  Last, there was an incident in the elevator with our kids and another guest.  Unfortunately, the guest was allowed to remain in the hotel, poor judgment on the hotel..",8.0
Hotel Jägerhof,the billing and that all.,"the staff and the customer care almost everything in the minibar expired and when i found out they said they will change it ,i checked after they change the one i drank it, i opened the minibar to check the rest and almost all of the items expired !!!.",1.0
Hotel Jägerhof,"Very clean, big rooms.","There was no breakfast, besides the fact that it was included in the stay. .It was a bit cold during the stay. I guess they control the temperature from main unit, because the one in the room didn't react to the temperature change..",8.0
Hotel Jägerhof,"The hotel is new, nicely built and with great attention to detail. Very much liked the option to upgrade pillows from the in-room tv system..","The attitude of hotel staff is not on par with the overall level of the hotel. They are nice and smile, but unfortunately, this is not enough to deliver a great guest experience..",7.0
Hotel Jägerhof,The hotel was very luxurious plenty of square metres in are room..,"Location, it was more of a business hotel very close to the major city roads which got quite busy, there was no where to walk to ie shopping or nice parks, but a beautiful hotel although that was to be expected as it's less than a year old..",9.0
Hotel Jägerhof,"Absolutely everything was perfect. From the price to quality, to cleanliness and professional staff. The private parking is a big bonus. .Definitely my top place to stay while in Plovdiv. .Highly recommending..",,10.0
Hotel Jägerhof,Fantastic stay at the JAGERHOF. Staff was very helpful and the amenities were great! The only bad side was it's location which was quite far from the city center. If you rent a car you won't have any problems..,It's location which was quite far from the city center. With the amount of staff they have onsite they could invest in a minivan to compensate the distance offering free pickup/ drop-off to city center..,10.0
Hotel Jägerhof,"The hotel is located away from the old town, but it's more of a plus if you have a car. The hotel itself is new and clean. Separately, I would like to note the attentive and friendly staff.",,10.0
Hotel Jägerhof,"Incredible cleanliness, attentive and smiling staff, facilities bordering on luxury. Breakfast is rich and delicious, and the hotel's location is easy to find, and parking is provided.",There is no such thing.,10.0
Hotel Jägerhof,World level,,10.0
Hotel Jägerhof,Everything's fine.,,10.0
Hotel Jägerhof,"There's nothing I don't like. From entering the hotel, through the room, the facilities, the service, room service for dinner, breakfast, to leaving everything was excellent. This is the best hotel I've ever stayed in. I sincerely hope that in time you will maintain quality at such a high level.","The shoe fungus. Very greasy and in the cold outside, the shoes went white.",10.0
Hotel Jägerhof,,"the room price on Booking was 20% higher than the reception price. In most European hotels, the price on Booking is either the same or lower.",9.0
Hotel Jägerhof,"Thanks for a great experience! The staff was extremely polite, the hotel was very clean, and the food was superb!",,10.0
Hotel Jägerhof,"It's all at an absolute high level, I'm very pleased.",,10.0
Hotel Jägerhof,"Great Bavarian atmosphere, very clean bathroom, friendly staff, I don't know why they didn't give them 5 stars! The hotel is made entirely according to a German model and its name fits perfectly with the atmosphere! For a city as dirty as Plovdiv, this hotel is an oasis in the desert!)","It's all very high up, I don't have any notes!",10.0
Hotel Jägerhof,One of the best hotels in Bulgaria.,,10.0
Hotel Jägerhof,"Top level. It's thought of absolutely everything for the comfort of the guests. Very comfortable beds, impeccable cleanliness. Excellent staff and attitude. The evaluation speaks volumes.",,10.0
Hotel Jägerhof,Absolutely everything!,,10.0
Hotel Jägerhof,Very stylish and quality hotel. Expensive materials have been used and the design of the rooms is very good. It's very clean and cozy all over.,Only that there's no spa and no pool.,10.0
Hotel Jägerhof,All of it!! from staying clean and everything in the room to breakfast and its grounds!,It was all perfect!,10.0
Hotel Jägerhof,"Excellent place. Spacious, clean and well-lit room with all amenities (7 different types of pillows for a restful and comfortable sleep). For electronics, there are 2 units. 22 Kw Type 2 free charging stations. And the atmosphere and the food at the beer hall are great.",,10.0
Hotel Jägerhof,The hotel is TOP!,"There's nothing I didn't like, everything was on the level!",10.0
Hotel Jägerhof,the best hotel in BG,There is no such thing.,10.0
Hotel Jägerhof,"Modern, modern, new, luxury city hotel! Everything in the hotel is on a level-service basis, facilities, cleanliness! The hotel's Bavarian Brasserie is great, I recommend it! I recommend the hotel!",,10.0
Hotel Jägerhof,"A fabulous setting, a brand-new hotel. Comfortable bed, lovely design of the room. A miracle breakfast. And the beer hall is not to be missed!",,10.0
Hotel Jägerhof,Everything's perfect.,,10.0
Hotel Jägerhof,"Clean, cosy, service and food.",There's nothing I don't like.,10.0
Hotel Jägerhof,Perfect.,,10.0
Hotel Jägerhof,"Perfect, stylish, clean, beautiful, free parking, peace and quiet",The restaurant next door sucks...,9.0
Hotel Jägerhof,"New hotel with great interiors. The room has everything you need for a hotel stay, everything from ironing facilities to beer and wine glasses. Very comfortable bed. Pillows were chosen from the menu. Tomorrow is delicious. Buffet, scrambled eggs/omelette to order, and a large selection of desserts. Near the hotel there is a large beer house, the food is delicious, hotel guests get a 10% discount. Large parking lot on site.","Eviction from the hotel: - evicted with disdain, distrustful of the fact that the minibar was not used. - Asked at the reception whether it is possible to collect water in a drinking liter bottle. In response, they heard: No! No! No! That's how one person can spoil the impression of such a beautiful hotel.",9.0
Hotel Jägerhof,"Very modern, very clean! The staff is very friendly! Free parking is also great!",Our rooms were very warm and central air conditioning was having a problem and we couldn't control the temperature!),9.0
Hotel Jägerhof,"We are our second guest - very clean and quiet/soundproofed/room, friendly staff who answer all guests' questions, a parking space for hotel guests.Of course, the unique “Jagerhoff” beer hall next door! Recommended!).We'd love to visit again!",There's nothing you don't like. It's all thought of and all the amenities for guests!,10.0
Hotel Jägerhof,Great style and quality. Fabulous hotel and staff,,10.0
Hotel Jägerhof,Great new hotel! All liked it! Recommend!,,10.0
Hotel Jägerhof,Price quality!!! Super modern hotel!!,There's no such thing!,9.0
Hotel Jägerhof,"Absolutely fabulous! The hotel is beautiful, and the staff fantastic. I will definitely be back",Anything,10.0
Hotel Jägerhof,"Everything was great and extremely high! We had the opportunity to change our choice of pillows directly through the menu of the TV completely free of charge, you can order breakfast directly in your room and order room service again through the menu of the TV.",If only breakfast could be a little more varied.,10.0
Hotel Jägerhof,"The hotel is great. I recommend it! Spacious, clean and cosy!",,10.0
Hotel Jägerhof,The staff makes the difference: Always helpful and friendly - whether at the breakfast buffet or at the reception. The restaurant next door is also highly recommended.,The hotel is a bit out of the city center and a car is definitely recommended.,9.0
Hotel Jägerhof,"Hotel is perfect, new, nice, clean, friendly staff. A spa area would have been great, but there is a gym for that. The bed was amazing! Good mattress and 2.20m wide. ..Only the neighboring restaurant did not quite convince us. It was nice (cozy Bavarian or at least pseudo - Bavarian brewery with almost Bavarian food), but the service was underground. side came 30 minutes before dinner and waitress didn't understand that's not ok. The second meal was both pre-and-main at the same time (at the same time as the other meal). Tasty but good. And local and hotel have the same name, but are separate, so I will not let this into the hotel rating.",,10.0
Hotel Jägerhof,"We're very impressed with the hotel, the staff, all the amenities! We got special treatment because we had said we were going to be newlyweds and our wedding night had decided to book there. We came home late at night, the next day we were allowed to leave the room at 4:00, so much effort was made - in the room we had a compliment bowl of fruit, coffee, tea, they set the table beautifully!.We are very happy to have chosen this hotel for this special occasion because it made us feel really special! Thank you from the bottom of our hearts! It was great!",,10.0
Hotel Jägerhof,All,,10.0
Hotel Jägerhof,All,,10.0
Hotel Jägerhof,"Breakfast with cook..Walking distance from Lidl/Decathlon of Shopping Mall. Old town in an hour..Free parking after the barrier and at full can also be free in the area..Reception and some cleaners even speak Dutch..Jagershop, hunter hotel and hunter restaurant with its own beer brewery close to each other..Clean, fresh and new hotel.",Can't think of anything.,10.0
Hotel Jägerhof,"I absolutely loved it. There's no more nice, stylish hotel. It's all about everything.",,10.0
Hotel Jägerhof,Everything is perfect,,10.0
Hotel Jägerhof,"Beautiful hotel, good breakfast, really a must",,10.0
Hotel Jägerhof,"Everything, 1000% recommended. It is a new-created hotel away from the hustle and bustle, with easy access, parking and well connected by wide roads and taxi service to the center by 7bng. Gived gleaming facilities with lots of charm that meets the most cosmopolitan European standards nowadays, very balanced design and decoration between uniqueness and minimalism. Totally new, you breathe cleanliness and delicacy in a total silence, well soundproofed. Very comfortable in every way; extremely comfortable beds with different types of pillows (greatly appreciated), very complete room, furniture and bathroom, spacious and cozy. Fabulous breakfast. And the exquisite and exemplary service and treatment of the young employees staff. 1000% recommended.","No comment, excellent, perfect.",10.0
Hotel Jägerhof,"Clean and spacious room, large bed, very pleasant fabrics (linen and towels). The room is well-equipped and stylishly furnished, as is the entire hotel. I recommend it!","The pillows were pretty thick. I missed a thinner pillow, but there was probably a change option on the menu - which I didn't take advantage of.",10.0
Hotel Jägerhof,really great... Hotel was brand new... very very friendly staff... will book again,,10.0
Hotel Jägerhof,"This is one of the best hotels I have ever stayed in. Although the hotel is located 4 km from the city center. The staff is very polite and caring. The rooms are new, spacious and comfortable. The hotel provides a menu of pillows for every taste - feather, cotton, etc. and so 5 types). The bed is large and comfortable. A good night will be guaranteed to you. There is also a kettle + tea and coffee in the room. Next to the hotel is a German pub with its own craft beer. + free parking on site.",There's no such thing,10.0
Hotel Jägerhof,"The staff, in particular the reception desk on the day of check-in and check-out, very committed and helpful. A huge plus. Very good conditions. A great restaurant in the form of a Brewery. The breakfast is great. An exceptional hotel, the best in Plovdiv.",,10.0
Hotel Jägerhof,room cleaning restaurant,,10.0
Hotel Jägerhof,The hotel was excellent!,,10.0
Hotel Jägerhof,"Amazing service from the first second. The staff is extremely professional and friendly. A rich breakfast with on-site cooking from Chef. Comfort is an absolute priority, as is the care of the smallest detail. The fact that the TV menu has the option of a preferred pillow speaks only to a high standard! ..It's easy to compete with the large luxury hotel chains in Western Europe.",There was no working ventilation in the bathroom.,10.0
Hotel Jägerhof,"It was hard to believe that you are in Plovdiv and not in an elite French resort. Top hotel with its own brewery (10% discount for guests if present a card). It takes about 7 minutes to get to the old city by taxi, it costs 4-6 lev. The breakfast is varied and very tasty. I can write compliments for a long time, but the fact remains - this is a wonderful hotel!",,10.0
Hotel Jägerhof,"Great hotel, everything is new! Great service! Near biraria",,10.0
Hotel Jägerhof,The service at the reception is exceptional..The comfort of the perfect room. .Best hotel during our stay in Bulgaria. .Full breakfast and quality.,Nothing,10.0
Hotel Jägerhof,Absolutely exceptional. I can only recommend.,"Modern, comfortable, great.",10.0
Hotel Jägerhof,The room is perfect. Nothing to complain about. Service and conditions at the highest level. One of the best city hotels. Thanks to the owners and staff!,,10.0
Hotel Jägerhof,All,No objections.,10.0
Hotel Jägerhof,"The calm, the cleanliness and the breakfast. .Impeccable and professional welcome.",Nothing,10.0
Hotel Jägerhof,Excellent service.The staff is very friendly.There's a free charging station for electric cars.,,10.0
Hotel Jägerhof,"The staff was excellent and helpful, the room ultra-modern large and clean as well as the bathroom, the breakfast very good, all areas excellent, comfortable parking, really deserves more",,10.0
Hotel Jägerhof,"The building was very modern and new, the rooms were exceptionally nicely furnished and the service was great. A very pleasant stay..I would love to come back!!",,10.0
Hotel Jägerhof,It's a great hotel. Perfect purity. Staff are extremely helpful and smiling. Great hotel,There's nothing we don't like.,10.0
Hotel Jägerhof,"It's a great hotel. New, decent, clean, decorated great, the staff are kind and helpful. The transport is easy, 2 km from the city centre. Far, far above Bulgaria's standards. Congratulations. The only address for Plovdiv.",,10.0
Hotel Jägerhof,"Unique hotel, great breakfast. We're definitely staying here for a stay in Plovdiv",,10.0
Hotel Jägerhof,"High end hotel. Very comfortable, very clean. Very helpful staff..The restaurant downstairs is delicious. Beware however of mosquitoes at night.",The location in the middle of housing blocks,10.0
Hotel Jägerhof,Excellent hotel. Superb breakfast. It's definitely a place I'm going to visit again.,There's nothing I don't like.,10.0
Hotel Jägerhof,"Very cosy new hotel, with all the necessary amenities and very clean. Our room was spacious, quiet and very nice, on the top floor. We had asked for the crib when we arrived, it was already in the room, there was a musical carousel and a baby pillow..Staff are on a level, extremely friendly, smiling and thoughtful..Breakfast was more than delicious, very delicious....Of course we tried the brasserie, I would recommend it, there is a 10% discount for hotel guests.",,10.0
Hotel Jägerhof,"Very modern hotel, all done with taste and style. Very clean. The staff was very helpful and friendly. No comments whatsoever!""",,10.0
Hotel Jägerhof,"Furniture and service at a very high level. A broken standard. Very well-chosen minibar! When I visit Plovdiv again, I will be required to be in this hotel!",I'd rather not like the idea of a spa with a pool.,10.0
Hotel Jägerhof,"Very friendly staff! We were greeted warmly, with a smile and very politely..Incredibly clean, cosy, with facilities missing in many of the same categories we've been to. I'm very impressed with the breakfast staff - two ladies helped us with the children's breakfast choice, very helpful. For me, it's a kids-friendly hotel, where I won't have to go back with the kids.",,10.0
Hotel Jägerhof,"A modern and comfortable hotel with great design, spacious and very clean rooms, good breakfasts and an excellent restaurant where you can taste Bavarian cuisine and beer.",Nothing like that happened,10.0
Hotel Jägerhof,"If I could give 11/10, I would!.Amazing place, staff and service!.Plovdiv's favourite stay in the The Hague",,10.0
Hotel Jägerhof,All perfect!😉,,10.0
Hotel Jägerhof,"Very clean, perfect location, new, comfortable, nice decor.","The only thing we didn't like was the misconception with the staff, we asked for extra water to buy and they told us: people drink the two waters in the fridge because you want extra four!",10.0
Hotel Jägerhof,"I trusted the hotel for the fifth time in a row. From arrival, through welcome, stay and departure, everything was impeccable! Excellent service! The feeling that I'm already among friends who expect me every time I book is unparalleled and priceless. .I was quite pleased with my visit. .I recommend the hotel and see you again on my next visit to Plovdiv!",,10.0
Hotel Jägerhof,Comfortable and very well-appointed room.Quiet location,,10.0
Hotel Jägerhof,"Everything! .The hotel is half a year old. Every detail has been addressed. .The bathroom is better and cosy than the one in your apartment! .The hotel has its own TV viewing software and room service menu, the restaurant with paintings etc..Big parking lot and good communication, up a big boulevard..Next to the hotel there is a huge restaurant (brasserie) with an outdoor garden. It's their original business. It offers live beer and everything on the menu is delicious!.And last but not least, a very friendly staff...I've never written any comments before, even if I like it. But for this hotel and service, I'd love to!",There was nothing we didn't like. Everything was magnificent! Maybe all he needs is a spa.,10.0
Hotel Jägerhof,"One of the best if not the best city hotel in Bulgaria. And not only. Modern, clean. Large rooms with top class amenities. Excellent breakfast. Free parking. To the center 7 minutes by taxi. Nearby is a fine brasserie with the same name as the hotel. Bravo!","All liked it. There are simply no comments at all, which rarely happens.",10.0
Hotel Jägerhof,"Service, decor, breakfast! The hotel is brand new. Of course, the Jagermhoff beer!",,10.0
Hotel Jägerhof,,The only downside is the lack of a bathrobe in the bathroom.,10.0
Hotel Jägerhof,"Welcome and accommodation, compliments, furnishings and cleanliness, coffee and amenities.",,10.0
Hotel Jägerhof,"Location, style and luxury feel",Everything's fine. Windows won't open,10.0
Hotel Jägerhof,Everything,,10.0
Hotel Jägerhof,"Great interior, friendly staff, clean and cosy. A lovely breakfast with quality food. They're serving omelets and pancakes right now, nice coffee. Easy and convenient location.",-,10.0
Hotel Jägerhof,Great hotel and staff,"Hello, the service at the Jericho Brewery to the Hotel was slow and terrible. We won't do it again.",10.0
Hotel Jägerhof,"Very stylish, beautiful and cosy! The staff were polite, friendly and smiling! There was fresh fruit and mineral water on the table, and the Julius Meinl coffee was wonderful! In two or three words: Everything was great!",We loved everything except that breakfast is not included and is available at an additional cost.,10.0
Hotel Jägerhof,"Breakfast was good, even as good as a quantity, but it was all cold.",,10.0
Hotel Jägerhof,"One of the best hotels in Bulgaria we've ever been to!.Excellent service and cleanliness!",,10.0
Hotel Jägerhof,"Very cosy setting with a modern design and attention to every detail. Everything was very nice, clean and preserved. The staff was very friendly. A convenient location, the beer hall also complements the quality of the stay. I recommend two hands!",There is no such thing.,10.0
Hotel Jägerhof,"I am extremely impressed by the staff! They were so nice and smiling! The room and the hotel in general are super, very comfortable, stylish and pleasant to stay! We'd love to go back and forth again!",,10.0
Hotel Jägerhof,"Exceptionally clean and pleasant accommodation, with attention to detail.Rooms are comfortable, cosy and furnished with thought.Staff are smiling and helpful.We recommend it hot. We'll visit again.",,10.0
Hotel Jägerhof,"A delicious breakfast. Everything was incredibly delicious with quality fresh ingredients. The hotel is exceptional, with many amenities and comfort of the highest level.",,10.0
Hotel Jägerhof,"I was a guest at the hotel for the fourth time. By coincidence, on the day of departure, March 22nd, I had a birthday, and it was really nice to wake up away from home, but in a pleasant environment. Once again, I confirm that the best hotel service in Plovdiv is available here. Excellent quality and service...One recommendation, including I had a writing job, I wanted to listen to some music on a radio, but I couldn't find any stations on the TV set. Perhaps you should add it, if there is such a possibility. There are great radio stations for chillout music, lounge music, our wonderful Bulgarian Radio Nova Bulgaria, which plays house sets and so on.",,10.0
Hotel Jägerhof,Breakfast is very good. They're making an omelet right now. The staff is very friendly.,,10.0
Hotel Jägerhof,My favorite stay in Plovdiv.,,10.0
Hotel Jägerhof,"Relationship, interior, everything is professional.",No terrace,10.0
Hotel Jägerhof,Everything was at the highest level.,Nothing. Nothing.,10.0
Hotel Jägerhof,"I'm staying for the third time at the hotel, which I believe is a symbol of uncompromising quality and perfect guest treatment. I'm sorry I don't have enough free time to enjoy a longer stay.. I hope to have a trip to Plovdiv again soon to soak up the best hotel atmosphere in the city.",,10.0
Hotel Jägerhof,It's a perfectly well thought out hotel.,We waited too long at the reception when we came in at night.,9.0
Hotel Jägerhof,Everything. A unique hotel. I'd visit again!,,10.0
Hotel Jägerhof,"Perfect service, convenient location, ample parking, all in the room is brand new. I recommend 100%.",,10.0
Hotel Jägerhof,"A beautiful hotel, clean, with amenities to the smallest detail, beautiful decor. Great breakfast, anti-epidemic measures!",,10.0
Hotel Jägerhof,"The environment, staff, service, EVERYTHING IS LEVEL. HEALTH!) HAS WORKED YET!",,10.0
Hotel Jägerhof,,It wasn't warm enough.,10.0
Hotel Jägerhof,"I'm staying at the hotel twice. He's the best in Plovdiv to me. My opinion has been confirmed by my previous stay - excellent staff, outstanding cleanliness, smells of freshness everywhere, no smoking anywhere. Code-action is followed. Everything I needed was in the room. I recommend the hotel and I'd be happy to stay there again.",There were hours when the Wi-Fi signal was lost or weak. I guess it's temporary.,10.0
Hotel Jägerhof,"Everything was great. The apartment, the service, the atmosphere. We'll certainly visit him again very soon.",There was nothing we didn't like.,10.0
Hotel Jägerhof,"Everything was great, the interior was great, the staff and the attitude. The food was wonderful.",There's nothing to point out.,10.0
Hotel Jägerhof,"Large room, huge bathroom and shower, pillow selection directly from the TV. You can also order additional cosmetics (shampoo and shower gels), exercises and food from it. Perfectly clean, everything was brought very quickly on additional requests. They gave a room on the highest floor, despite the fact that the hotel is located in Trakia - the view is pleasant. Another plus is that you can open the window, despite the fifth floor :) At the reception, everyone is very friendly, like the woman who cooks in the restaurant, the rest obviously don’t know how to smile. This hotel is clearly the best and most comfortable in Plovdiv.","- when they put the ""clean room"" button and left for 5 hours - the room was never cleaned - room service brought food half cold two out of two times - food is cooked very slowly at breakfast, instead of the planned 20 minutes they sat there for 40 - there is an order for food on the TV but no drinks",10.0
