,Unnamed: 0,Unnamed: 0.1,Hotel,Liked,Disliked,Score,Combined comment
16,20,20,Festa Panorama Hotel,"Staff at the reception was excellent. We also received a complimentary bottle of wine and a fruit plate. Housekeepers were also very kind. Pool was nice and clean, no outside jacuzzi..","We didn't like the quality of the food although there was some variety. Not very tasty. No real butter at breakfast (!!!) and frozen cod only once.... It is a shame not to have fresh fish from Black sea every day!  We assumed the person responsible cannot handle the deliveries because there is plenty of cheap fresh fish in and around Nessebar! Soft drinks only from a machine, no fresh bar. We know that it is difficult to maintain good level of service due to the coronavirus (lack of tourists) but we are customers after all, and as such, expected more effort..",7.0,"Staff at the reception was excellent. We also received a complimentary bottle of wine and a fruit plate. Housekeepers were also very kind. Pool was nice and clean, no outside jacuzzi.. We didn't like the quality of the food although there was some variety. Not very tasty. No real butter at breakfast (!!!) and frozen cod only once.... It is a shame not to have fresh fish from Black sea every day!  We assumed the person responsible cannot handle the deliveries because there is plenty of cheap fresh fish in and around Nessebar! Soft drinks only from a machine, no fresh bar. We know that it is difficult to maintain good level of service due to the coronavirus (lack of tourists) but we are customers after all, and as such, expected more effort.."
17,21,21,Festa Panorama Hotel,Large buffet with broad selection of choices.  Very friendly and helpful staff.  Good location.  Excellent value overall..,"Buffet coffee came from automated machine, and seemed to be more of a coffee-like product..",8.0,"Large buffet with broad selection of choices.  Very friendly and helpful staff.  Good location.  Excellent value overall.. Buffet coffee came from automated machine, and seemed to be more of a coffee-like product.."
18,22,22,Festa Panorama Hotel,"View, food, staff, pools..","Payment for parking. Poor game room for children and apathy of staff in this room to children, they play in phone all day with no attention to children needs. Far location from main children activities on sunny beach, the closest one was inside Burgas, that an a 40 minutes driving each time..",7.0,"View, food, staff, pools.. Payment for parking. Poor game room for children and apathy of staff in this room to children, they play in phone all day with no attention to children needs. Far location from main children activities on sunny beach, the closest one was inside Burgas, that an a 40 minutes driving each time.."
19,24,24,Festa Panorama Hotel,"Great location, staff are polite and cant do enough for you!.","Not enough tables in the restaurants, which meant that random people/families,  wud come and sit in your table..",8.0,"Great location, staff are polite and cant do enough for you!. Not enough tables in the restaurants, which meant that random people/families,  wud come and sit in your table.."
20,25,25,Festa Panorama Hotel,"The meals were delicious, varied ones. .Quite place. .Friendly, helpful staff. .5* for the entertainment team, the audience was delighted..","I didn't like the fact that this hotel is considered to be a 4* hotel. I consider it's overvalued. .Why? Well, the pictures on Booking are glamorous but, when you reach the place and discover that inside is a musty smell (during all 5 days we were there) or the carpet in the room was stained....",7.0,"The meals were delicious, varied ones. .Quite place. .Friendly, helpful staff. .5* for the entertainment team, the audience was delighted.. I didn't like the fact that this hotel is considered to be a 4* hotel. I consider it's overvalued. .Why? Well, the pictures on Booking are glamorous but, when you reach the place and discover that inside is a musty smell (during all 5 days we were there) or the carpet in the room was stained...."
21,26,26,Festa Panorama Hotel,"Location, perfect view at the sea. Comfort room. The hotel is close to the beach and also Old Nessebar. overall value for the money is good..",The drinks and food can be improved. The staff should smile more :).,9.0,"Location, perfect view at the sea. Comfort room. The hotel is close to the beach and also Old Nessebar. overall value for the money is good.. The drinks and food can be improved. The staff should smile more :)."
22,27,27,Festa Panorama Hotel,"The hotel is in a good location, near the promenade with some parking spaces available.   The pool is large and the additional facilities good.  The rooms are generally spacious. There is variety of food is good. Staff are generally helpful..","The meal times are busy and not particularly well organised.  Since the hotel was very busy, often there was no where to sit and at times we had to wait up to 30 minutes to get a table for our group. .The kitchen staff cleaned out the food exactly on time, so if you arrived 1 minute late you were lucky to get anything. Some staff asked you to leave if you did try and take anything after the time limit..The spa centre was switched off most of the time.  There was no one to help switch it on..The apartment rooms were smelly and felt like they needed a good clean.  The regular rooms were much cleaner..",7.0,"The hotel is in a good location, near the promenade with some parking spaces available.   The pool is large and the additional facilities good.  The rooms are generally spacious. There is variety of food is good. Staff are generally helpful.. The meal times are busy and not particularly well organised.  Since the hotel was very busy, often there was no where to sit and at times we had to wait up to 30 minutes to get a table for our group. .The kitchen staff cleaned out the food exactly on time, so if you arrived 1 minute late you were lucky to get anything. Some staff asked you to leave if you did try and take anything after the time limit..The spa centre was switched off most of the time.  There was no one to help switch it on..The apartment rooms were smelly and felt like they needed a good clean.  The regular rooms were much cleaner.."
23,28,28,Festa Panorama Hotel,"Food was great, staff were great, a very relaxing holiday, thank you x x.",,9.0,"Food was great, staff were great, a very relaxing holiday, thank you x x. "
24,29,29,Festa Panorama Hotel,Excellent food with good variety. Amazing views over the bay. Very polite staff. Got a free room upgrade!.,,9.0,Excellent food with good variety. Amazing views over the bay. Very polite staff. Got a free room upgrade!. 
25,30,30,Festa Panorama Hotel,Nice view over the sea.,Lack of daily clean up.,8.0,Nice view over the sea. Lack of daily clean up.
26,31,31,Festa Panorama Hotel,Hotel is located right in between old town Nessebar and holiday area Sunny Beach. Both are within 15 minutes walking distance..Excellent buffet breakfast and room with sea view exceeded our expectations..There is a large pool and public sand beach is also 2 minutes walking distance..There is a bank branch in the reception where you can change to local currency with the best rates..We definitely recommend this hotel for families..,"There were some young couples but the rest of the hotel were full of elder tourists..If you are looking for action and night life, this may not be the property you are looking for..",9.0,"Hotel is located right in between old town Nessebar and holiday area Sunny Beach. Both are within 15 minutes walking distance..Excellent buffet breakfast and room with sea view exceeded our expectations..There is a large pool and public sand beach is also 2 minutes walking distance..There is a bank branch in the reception where you can change to local currency with the best rates..We definitely recommend this hotel for families.. There were some young couples but the rest of the hotel were full of elder tourists..If you are looking for action and night life, this may not be the property you are looking for.."
27,32,32,Festa Panorama Hotel,"reach breakfast, a lot of choices, tasty.","Indoor swimming pool didn't have heated water, which is a big minus. Another thing, before coming to hotel, I got email saying that for the relax zone only the swimming pool and the fitness facilities are free of charge, for the rest I should pay 10 BGN per treatment. However, the price for massages were much higher..",8.0,"reach breakfast, a lot of choices, tasty. Indoor swimming pool didn't have heated water, which is a big minus. Another thing, before coming to hotel, I got email saying that for the relax zone only the swimming pool and the fitness facilities are free of charge, for the rest I should pay 10 BGN per treatment. However, the price for massages were much higher.."
28,33,33,Festa Panorama Hotel,"The room was big and clean..Pool was clean, the water a bit cold though..Animation team was nice..The All inclusive had multiple types of bread, 3 kinds of fruit, different kinds of cheese, almost decent wine and beer..The hotel is close to the beach..","The carpet in the room was a bit smelly (some steam cleaning maybe?).The fridge was full of ice..The food was 80% terrible. .The 'cold meat' for breakfast was 3 types of baloney (cheap) and 1 or 2 types of salami that was barely renewed when it was gone. Only the baloney was plenty..They had a lot of frozen vegetables, that were a bit boiled, no taste..The french fries were hard and had no salt..The overall feeling was that every kind of food was the cheapest possible..The coffee was horrible. Only one machine had Espresso made of coffee beans. The rest was some kind of powders..All the included juices were full of chemicals and tasted 'cheap'.When getting close to the restaurant, the smell of 'instant soup' hit you. (most likely a lot of MSG in all food).The desert had fruits, but the cookies seemed very cheap..'All inclusive' promised snacks at the bar, but only had some cookies at the lobby bar (10-11 am and 4-5PM), but the pool bar had only some tasteless cheap sandwiches and sometimes had some donuts (cheap)..This is a 4 star hotel! I wonder what does All inclusive mean for a 3 star or 2 star hotel?.TV had mostly bulgarian channels. (some news channels and a lot of music channels were in english and french)..The tourists (mostly german and polish and romanian) put their towels on the sunbeds by the pool at 8 AM and took them at sunset, even tough they actually used them only 1 or 2 hours. There should be some kind of process, so when you don't use the sunbed, just let the others use it..All in all, the All inclusive part of this 4 star hotel is disappointing..If you can, just stay at the hotel, but don't eat from there..",5.0,"The room was big and clean..Pool was clean, the water a bit cold though..Animation team was nice..The All inclusive had multiple types of bread, 3 kinds of fruit, different kinds of cheese, almost decent wine and beer..The hotel is close to the beach.. The carpet in the room was a bit smelly (some steam cleaning maybe?).The fridge was full of ice..The food was 80% terrible. .The 'cold meat' for breakfast was 3 types of baloney (cheap) and 1 or 2 types of salami that was barely renewed when it was gone. Only the baloney was plenty..They had a lot of frozen vegetables, that were a bit boiled, no taste..The french fries were hard and had no salt..The overall feeling was that every kind of food was the cheapest possible..The coffee was horrible. Only one machine had Espresso made of coffee beans. The rest was some kind of powders..All the included juices were full of chemicals and tasted 'cheap'.When getting close to the restaurant, the smell of 'instant soup' hit you. (most likely a lot of MSG in all food).The desert had fruits, but the cookies seemed very cheap..'All inclusive' promised snacks at the bar, but only had some cookies at the lobby bar (10-11 am and 4-5PM), but the pool bar had only some tasteless cheap sandwiches and sometimes had some donuts (cheap)..This is a 4 star hotel! I wonder what does All inclusive mean for a 3 star or 2 star hotel?.TV had mostly bulgarian channels. (some news channels and a lot of music channels were in english and french)..The tourists (mostly german and polish and romanian) put their towels on the sunbeds by the pool at 8 AM and took them at sunset, even tough they actually used them only 1 or 2 hours. There should be some kind of process, so when you don't use the sunbed, just let the others use it..All in all, the All inclusive part of this 4 star hotel is disappointing..If you can, just stay at the hotel, but don't eat from there.."
29,34,34,Festa Panorama Hotel,The location of the hotel. The kidnes of staff. The rooms where clean..,There is nothing that i mentioned.,10.0,The location of the hotel. The kidnes of staff. The rooms where clean.. There is nothing that i mentioned.
30,35,35,Festa Panorama Hotel,Nothing..,"The worst experience ever. No parking though prepaid!!! Nobody from the staff had an adequate reaction as if all of them were in the hotel for the first time! No air-conditioner working in the room! You need to open the door at night in order  to breath but as soon as you open it, the noise is unbearable so you close it..Food terrible , not corresponding even to the cheapest possible hotel..Children from a camp were acccomodated together with families with babies and couples. At least, they could've put them on a separate floor ..",1.0,"Nothing.. The worst experience ever. No parking though prepaid!!! Nobody from the staff had an adequate reaction as if all of them were in the hotel for the first time! No air-conditioner working in the room! You need to open the door at night in order  to breath but as soon as you open it, the noise is unbearable so you close it..Food terrible , not corresponding even to the cheapest possible hotel..Children from a camp were acccomodated together with families with babies and couples. At least, they could've put them on a separate floor .."
31,36,36,Festa Panorama Hotel,The hotel is clean and the food is okay..,"The spa and wellness center (which is the reason I chose the hotel for) was not open at all, not even the indoor pool, which I found out when I was checking in at the reception desk. Then when we went to dinner, we found out that THERE IS NO WATER IN THE RESTAURANT. When I asked about a glass of water, I was sent to the lobby bar (outside of the restaurant). I said that to the reception desk and they reacted as if it was completely normal, and I am the crazy one to want some water. (On the next day, I saw that one of the juice machines in the restaurant actually has a small switch for water, which apparently the staff wasn't aware of)..",3.0,"The hotel is clean and the food is okay.. The spa and wellness center (which is the reason I chose the hotel for) was not open at all, not even the indoor pool, which I found out when I was checking in at the reception desk. Then when we went to dinner, we found out that THERE IS NO WATER IN THE RESTAURANT. When I asked about a glass of water, I was sent to the lobby bar (outside of the restaurant). I said that to the reception desk and they reacted as if it was completely normal, and I am the crazy one to want some water. (On the next day, I saw that one of the juice machines in the restaurant actually has a small switch for water, which apparently the staff wasn't aware of).."
32,37,37,Festa Panorama Hotel,The view.,"Bathroom unclean, the bad uncomfortable. No more than 3 stars..",5.0,"The view. Bathroom unclean, the bad uncomfortable. No more than 3 stars.."
33,38,38,Festa Panorama Hotel,Location and just the bed was comfortable.,"Old furnitures in the room. Ac,  sink in the toilet and bath tub had a leak, water was  leaking while using them. Poor breakfast..",5.0,"Location and just the bed was comfortable. Old furnitures in the room. Ac,  sink in the toilet and bath tub had a leak, water was  leaking while using them. Poor breakfast.."
34,39,39,Festa Panorama Hotel,The pool and the staff.,There was no parking.,4.0,The pool and the staff. There was no parking.
35,40,40,Festa Panorama Hotel,"The property is perfectly clean, greatest view in whole Nesebar and sea side of Bulgaria, the central location walking distance to any attractions. Stuff is the most polite and professional..","There is no such a thing or negative point. This hotel is amazing. Their animation team is lovely, entertaining  children and adults. The food is very well made and healthy. Housekeeping and front desk are to highest standards. Lovely people looking after and care for their guests..",10.0,"The property is perfectly clean, greatest view in whole Nesebar and sea side of Bulgaria, the central location walking distance to any attractions. Stuff is the most polite and professional.. There is no such a thing or negative point. This hotel is amazing. Their animation team is lovely, entertaining  children and adults. The food is very well made and healthy. Housekeeping and front desk are to highest standards. Lovely people looking after and care for their guests.."
36,41,41,Festa Panorama Hotel,"Location was great, view of room was great, too. Beds were made each day..Breakfast was very delicious, there were pancakes freshly made each morning..","Parking: at the site of the property it was written that there is parking for hotel guests. When we arrived the few parking spots were already taken. Personal at the reception was not helpful at all in that situation, we were basically told, that this is not their problem. Unacceptable!.Pool seemed clean but was crowded. People were taking  the chairs and reserving them with beach towels so that other guest could not take advantage and use the pool. Staff did nothing about that as well..The room was spacious and we expected some great value for the high price - carpet smelled funny and in the room other guest have definitely smoked before, each time we opened the door, we could always smell cigarette smoke. Furniture in the hotel was outdated, probably great 10 years ago..",5.0,"Location was great, view of room was great, too. Beds were made each day..Breakfast was very delicious, there were pancakes freshly made each morning.. Parking: at the site of the property it was written that there is parking for hotel guests. When we arrived the few parking spots were already taken. Personal at the reception was not helpful at all in that situation, we were basically told, that this is not their problem. Unacceptable!.Pool seemed clean but was crowded. People were taking  the chairs and reserving them with beach towels so that other guest could not take advantage and use the pool. Staff did nothing about that as well..The room was spacious and we expected some great value for the high price - carpet smelled funny and in the room other guest have definitely smoked before, each time we opened the door, we could always smell cigarette smoke. Furniture in the hotel was outdated, probably great 10 years ago.."
37,42,42,Festa Panorama Hotel,The positioning of the hotel is very good. You can easily walk to the old town of Nessebar. The beach also starts near the hotel. .The sea view is beautiful (You will have the sea view from the 3rd floor upwards). The pool is nice but not deep.  .Breakfast is diverse but don't think about very high quality products..,"There are several things that were not liked:.- on some parts of the room, the wallpaper is easily detached;.- the blanket have stains and traces of dirt on them;.- you have a refrigerator in the room but it is empty;.- if you do not have all inclusive and want to order at the pool, you can not charge on the room number but you have to go to the bar inside;.- the dining room is too small for the capacity of the hotel, there are mornings when you have to share the table with other people;.- balconies have no privacy because they are separated by glass windows..- the distribution on the rooms does not take into account the separation of families without children from those with children. You may have the inconvenience of having near you a room with a noisy family with children..- the parking lot is too small. Most of the time you have to park on the sidewalk because there are no parking spaces..Unfortunately, we had the inconvenience to have the room between two Romanian families with children. In the balcony they were talking to each other (over our balcony) and the children were looking at us in the room. We asked at the reception to change the room and they informed us that we have to wait until 1 pm, later the manager said that it is not possible to change because they will ask our neighbors to be quiet. We could only change the room when we informed that we would change the hotel if our room was not changed. The hotel staff must pay more attention to the distribution of the rooms..",6.0,"The positioning of the hotel is very good. You can easily walk to the old town of Nessebar. The beach also starts near the hotel. .The sea view is beautiful (You will have the sea view from the 3rd floor upwards). The pool is nice but not deep.  .Breakfast is diverse but don't think about very high quality products.. There are several things that were not liked:.- on some parts of the room, the wallpaper is easily detached;.- the blanket have stains and traces of dirt on them;.- you have a refrigerator in the room but it is empty;.- if you do not have all inclusive and want to order at the pool, you can not charge on the room number but you have to go to the bar inside;.- the dining room is too small for the capacity of the hotel, there are mornings when you have to share the table with other people;.- balconies have no privacy because they are separated by glass windows..- the distribution on the rooms does not take into account the separation of families without children from those with children. You may have the inconvenience of having near you a room with a noisy family with children..- the parking lot is too small. Most of the time you have to park on the sidewalk because there are no parking spaces..Unfortunately, we had the inconvenience to have the room between two Romanian families with children. In the balcony they were talking to each other (over our balcony) and the children were looking at us in the room. We asked at the reception to change the room and they informed us that we have to wait until 1 pm, later the manager said that it is not possible to change because they will ask our neighbors to be quiet. We could only change the room when we informed that we would change the hotel if our room was not changed. The hotel staff must pay more attention to the distribution of the rooms.."
38,43,43,Festa Panorama Hotel,Near the sea..,"No covid measures, no mask, no nothing..poor and cheap breakfast. zero cleanliness, hair through the bed, the pictures do not correspond to reality. extremely expensive for what  they offers..",1.0,"Near the sea.. No covid measures, no mask, no nothing..poor and cheap breakfast. zero cleanliness, hair through the bed, the pictures do not correspond to reality. extremely expensive for what  they offers.."
39,44,44,Festa Panorama Hotel,"We only stayed with breakfast but everything was excellent.  Clean, quiet, ok in terms of Covid rules.  The sea view and the sunny Sunny Beach.  Thank you!.",,10.0,"We only stayed with breakfast but everything was excellent.  Clean, quiet, ok in terms of Covid rules.  The sea view and the sunny Sunny Beach.  Thank you!. "
