,Unnamed: 0,Hotel,Liked,Disliked,Score,Combined comment
11,11,Hotel Anna-Kristina,"Being for the fourth time at this Hotel, we kind of knew what to expect from this experience, and it was as good as we tought it would be. Wonderful hosts, nice, kind and helpful. Nice room, very clean, very spacious bathroom and extremely comfortable bed. Great, clean, pleasant pool, nice Pool Bar and very good restaurant. Delicious breakfast. We hope to return soon..",,10.0,"Being for the fourth time at this Hotel, we kind of knew what to expect from this experience, and it was as good as we tought it would be. Wonderful hosts, nice, kind and helpful. Nice room, very clean, very spacious bathroom and extremely comfortable bed. Great, clean, pleasant pool, nice Pool Bar and very good restaurant. Delicious breakfast. We hope to return soon.. "
12,12,Hotel Anna-Kristina,"Awesome location, close to river and fortress. Big enough and very comfortable room, nice swimming pool, free parking, tasty breakfast..","All was good, I wished I booked it for longer time..",10.0,"Awesome location, close to river and fortress. Big enough and very comfortable room, nice swimming pool, free parking, tasty breakfast.. All was good, I wished I booked it for longer time.."
13,13,Hotel Anna-Kristina,"Lovely oldish hotel with character. Weather not too good when we got there so didn't use the pool. However we did eat there in the evening and food was excellent with superb service. Waitress in the bar beforehand too was really nice and helpful. Rooms are ok too, comfortable with a good size modern bathroom. Lovely park outside of the hotel with a fortress at one end..",Be careful what you wear outside as the Danube is very close with plenty of mosquitoes around!.,9.0,"Lovely oldish hotel with character. Weather not too good when we got there so didn't use the pool. However we did eat there in the evening and food was excellent with superb service. Waitress in the bar beforehand too was really nice and helpful. Rooms are ok too, comfortable with a good size modern bathroom. Lovely park outside of the hotel with a fortress at one end.. Be careful what you wear outside as the Danube is very close with plenty of mosquitoes around!."
14,14,Hotel Anna-Kristina,"Clean rooms , nice pool.",,10.0,"Clean rooms , nice pool. "
15,15,Hotel Anna-Kristina,"Very nice location in the town park. Many good restaurants near by..The window mosquitoes nets are very important , the Danube is near..","No instructions for using the TV , there are two remote controls ..",9.0,"Very nice location in the town park. Many good restaurants near by..The window mosquitoes nets are very important , the Danube is near.. No instructions for using the TV , there are two remote controls .."
16,16,Hotel Anna-Kristina,"Hotel location is great, by the river and in a very calm and quite area. Close to restaurants/bistros. Clean and comfortable, but not an economy offer..","Breakfast continental, not to diverse, limited selections. Bread offered only toast and hard :( ... very poor coffee.",8.0,"Hotel location is great, by the river and in a very calm and quite area. Close to restaurants/bistros. Clean and comfortable, but not an economy offer.. Breakfast continental, not to diverse, limited selections. Bread offered only toast and hard :( ... very poor coffee."
17,17,Hotel Anna-Kristina,Amazing location in the park next to the Danube river while still in walking distance to both the city center and the Baba Vida fortress. Interesting building. Very helpful staff who explained a lot about the history of the town and local attractions to visit. Very good breakfast..,Airconditioning was not too great and was set to warm even though it was 30 degrees outside..,9.0,Amazing location in the park next to the Danube river while still in walking distance to both the city center and the Baba Vida fortress. Interesting building. Very helpful staff who explained a lot about the history of the town and local attractions to visit. Very good breakfast.. Airconditioning was not too great and was set to warm even though it was 30 degrees outside..
18,18,Hotel Anna-Kristina,"The place is very clean, staff is nice and the location near the Danube is great..",The coffee served with breakfast was not too good; better order the espresso..,9.0,"The place is very clean, staff is nice and the location near the Danube is great.. The coffee served with breakfast was not too good; better order the espresso.."
19,19,Hotel Anna-Kristina,"A glorious building, very friendly staff - nothing to brag about on it! Quite comfortable beds, decent bathrooms, beautiful ambiance..","I could recommend a hot water kettle in the room; maybe a bit more strict on the guest enjoying themselves after 2300 hours, but nothing really inconvenient ..",9.0,"A glorious building, very friendly staff - nothing to brag about on it! Quite comfortable beds, decent bathrooms, beautiful ambiance.. I could recommend a hot water kettle in the room; maybe a bit more strict on the guest enjoying themselves after 2300 hours, but nothing really inconvenient .."
20,20,Hotel Anna-Kristina,The apartment snd the bathroom were spacious. The food was delicious and the staff were super friendly..,,10.0,The apartment snd the bathroom were spacious. The food was delicious and the staff were super friendly.. 
21,21,Hotel Anna-Kristina,"The beakfast was super generous and tasty. Very good location, near to Danube and about 20-30 minutes by walk to Baba Vida Fortress. The room was very clean and the bed comfortable..","Everything was alright, nothing to complain..",10.0,"The beakfast was super generous and tasty. Very good location, near to Danube and about 20-30 minutes by walk to Baba Vida Fortress. The room was very clean and the bed comfortable.. Everything was alright, nothing to complain.."
22,22,Hotel Anna-Kristina,11 out 10 for breakfast. VIP room was good but just two bottles of water have been left in the room. No kettle or anything. I ordered a fish for my dinner. It was good but just came with a slice of lemon. I will go back to stay again.,"A kettle and tea bags, coffee would be nice.",8.0,"11 out 10 for breakfast. VIP room was good but just two bottles of water have been left in the room. No kettle or anything. I ordered a fish for my dinner. It was good but just came with a slice of lemon. I will go back to stay again. A kettle and tea bags, coffee would be nice."
23,23,Hotel Anna-Kristina,"For small town price little bit high,  but I enjoyed  my stay in the hotel..",,10.0,"For small town price little bit high,  but I enjoyed  my stay in the hotel.. "
24,24,Hotel Anna-Kristina,"Very nice location, in a park on the banks of the Danube. Very good breakfast. Friendly staff. I really enjoyed the classic look of the hotel and of the room..",,9.0,"Very nice location, in a park on the banks of the Danube. Very good breakfast. Friendly staff. I really enjoyed the classic look of the hotel and of the room.. "
25,25,Hotel Anna-Kristina,The room was looking new and very clean. The staff was very professional and put us as a priority before finishing all the check-in documente..,,9.0,The room was looking new and very clean. The staff was very professional and put us as a priority before finishing all the check-in documente.. 
26,26,Hotel Anna-Kristina,The charm & history of the building the pictures in the lobby the pool with padded beds is far better great team of staff who all work hard.,No pizza on the menu the bar outdoor day menu was only in Bulgarian so had to ask to translate this every day needs more vegetarian & vegan options on the menu so I only had salads in the day by the pool.,10.0,The charm & history of the building the pictures in the lobby the pool with padded beds is far better great team of staff who all work hard. No pizza on the menu the bar outdoor day menu was only in Bulgarian so had to ask to translate this every day needs more vegetarian & vegan options on the menu so I only had salads in the day by the pool.
27,27,Hotel Anna-Kristina,"Park location, by the river. In down town. Swimmingpool.",Could be a bit cheaper.,9.0,"Park location, by the river. In down town. Swimmingpool. Could be a bit cheaper."
28,28,Hotel Anna-Kristina,Location and breakfast.,,8.0,Location and breakfast. 
29,29,Hotel Anna-Kristina,My favorite thing about hotel Anna-Kristina is the charm!  It’s such a cute place with a classy feel and unique design.  It appears to be an old mansion redesigned I to a boutique-ish hotel!  The pool area was super nice!  Poolside bar was great!  Our room was very clean and detail oriented.  The restaurant was good and has two very nice outdoor seating areas..,The pool water was quite dirty..,10.0,My favorite thing about hotel Anna-Kristina is the charm!  It’s such a cute place with a classy feel and unique design.  It appears to be an old mansion redesigned I to a boutique-ish hotel!  The pool area was super nice!  Poolside bar was great!  Our room was very clean and detail oriented.  The restaurant was good and has two very nice outdoor seating areas.. The pool water was quite dirty..
30,30,Hotel Anna-Kristina,"Great location, clean, polite staff, the food in the restaurant was great. Totally recommend it..",,9.0,"Great location, clean, polite staff, the food in the restaurant was great. Totally recommend it.. "
31,31,Hotel Anna-Kristina,Nice Pool. Good breakfast.,Room cleaning not done every day..,9.0,Nice Pool. Good breakfast. Room cleaning not done every day..
32,32,Hotel Anna-Kristina,Everything was great and exceeding expectations..,,10.0,Everything was great and exceeding expectations.. 
33,33,Hotel Anna-Kristina,Very nice hotel in the middle of park and close to Danube river. The outdoor swiming pool was very pleasant and I could enjoy even hot weather in Vidin. Vidin is very interesting town and very nice compared to other Bulgarian towns of the similar size..,-.,10.0,Very nice hotel in the middle of park and close to Danube river. The outdoor swiming pool was very pleasant and I could enjoy even hot weather in Vidin. Vidin is very interesting town and very nice compared to other Bulgarian towns of the similar size.. -.
34,34,Hotel Anna-Kristina,"Perfect location, great breakfast and friendly staff. Considering the measures about the corona virus the pool was not yet fully operational, but the ambiance and the attitude of the staff compensated that..",It would be nice to have some hooks for wet towels in the bathroom - to avoid putting dry and wet towels on the same rack..,9.0,"Perfect location, great breakfast and friendly staff. Considering the measures about the corona virus the pool was not yet fully operational, but the ambiance and the attitude of the staff compensated that.. It would be nice to have some hooks for wet towels in the bathroom - to avoid putting dry and wet towels on the same rack.."
35,35,Hotel Anna-Kristina,You will not miss anything! The management team has thought of every detail so that the guests can enjoy their stay to the maximum. The staff is extremely polite and kind. The location of the hotel is perfect. I cannot point out any shortcomings..I highly recommend it to all travelers looking for non-commercial places around the world - Vidin  and Hotel Anna-Kristina will enchant you!.,,10.0,You will not miss anything! The management team has thought of every detail so that the guests can enjoy their stay to the maximum. The staff is extremely polite and kind. The location of the hotel is perfect. I cannot point out any shortcomings..I highly recommend it to all travelers looking for non-commercial places around the world - Vidin  and Hotel Anna-Kristina will enchant you!. 
36,36,Hotel Anna-Kristina,"I like this hotel with old architecture and completely renovated and I stayed there before. The hotel is located in a public parc on the banks of the river Danube. From the hotel you can walk through the center of Vidin, the carparc in front of the hotel is secure..The receptionist at check-in was very polite, she speaks very good English..The restaurant prepared / served good dinner.","The service for the breakfast was bad, the Coffee was cold (two attempts) as were two oranges, the waiter put on the table. I was the only guest in the restaurant, obviously a disturbance for three or four women in the kitchen, talking loudly in Bulgarian Language..",9.0,"I like this hotel with old architecture and completely renovated and I stayed there before. The hotel is located in a public parc on the banks of the river Danube. From the hotel you can walk through the center of Vidin, the carparc in front of the hotel is secure..The receptionist at check-in was very polite, she speaks very good English..The restaurant prepared / served good dinner. The service for the breakfast was bad, the Coffee was cold (two attempts) as were two oranges, the waiter put on the table. I was the only guest in the restaurant, obviously a disturbance for three or four women in the kitchen, talking loudly in Bulgarian Language.."
37,37,Hotel Anna-Kristina,"The hotel is in the heart of the city. Just off the main square, right next to the Danube and very close to the fortress..The room we booked was greatly furnished, very comfortable bed and great bathroom. Breakfast is not a buffet but the quality is good. Great coffee and a classy restaurant..",There is nothing that we did not like..,10.0,"The hotel is in the heart of the city. Just off the main square, right next to the Danube and very close to the fortress..The room we booked was greatly furnished, very comfortable bed and great bathroom. Breakfast is not a buffet but the quality is good. Great coffee and a classy restaurant.. There is nothing that we did not like.."
38,38,Hotel Anna-Kristina,"It was nice, clean with a very good location near Danube. The hotel itself it looks like a mansion keept in very good conditions. Personel was nice..",Nothing.,9.0,"It was nice, clean with a very good location near Danube. The hotel itself it looks like a mansion keept in very good conditions. Personel was nice.. Nothing."
39,39,Hotel Anna-Kristina,"Very clean rooms, friendly staff. Perfect dinner..","Smell from the air condition, poor breakfast..",8.0,"Very clean rooms, friendly staff. Perfect dinner.. Smell from the air condition, poor breakfast.."
40,40,Hotel Anna-Kristina,"- Clean and quiet..- Comfortable bed..- Rain shower..- Very friendly, positive, and funny staff.",,9.0,"- Clean and quiet..- Comfortable bed..- Rain shower..- Very friendly, positive, and funny staff. "
41,41,Hotel Anna-Kristina,"NICE HOTEL, NICE PRICE, NICE PEOPLE!!!.",I didn't like the fact that I couldn't stay more than one day :-))).,10.0,"NICE HOTEL, NICE PRICE, NICE PEOPLE!!!. I didn't like the fact that I couldn't stay more than one day :-)))."
42,42,Hotel Anna-Kristina,A perfect historic property decorated with thought..,"Did really expect the restaurant to be open at 7pm on a Friday evening. Plus the last resort after a long journey, that was the mini bar to not work. Pity otherwise we would definitely used hereafter..",9.0,"A perfect historic property decorated with thought.. Did really expect the restaurant to be open at 7pm on a Friday evening. Plus the last resort after a long journey, that was the mini bar to not work. Pity otherwise we would definitely used hereafter.."
43,43,Hotel Anna-Kristina,"Best place in Vidin. Very good restaurant. Usually overpriced , but this time :).",,8.0,"Best place in Vidin. Very good restaurant. Usually overpriced , but this time :). "
44,44,Hotel Anna-Kristina,The hotel is very nice and the Cafe and restaurant are very good..,No buffet breakfast. but made to order which was very nice..,8.0,The hotel is very nice and the Cafe and restaurant are very good.. No buffet breakfast. but made to order which was very nice..
45,45,Hotel Anna-Kristina,"I like the location right along the Danube River, the newly refurbished rooms, and the very friendly staff..","I was disappointed that the pool had been drained and the fountain was no longer running. We wouldn't have gone swimming, but it's nice to sit by the pool and fountain and have a drink in the evening..",10.0,"I like the location right along the Danube River, the newly refurbished rooms, and the very friendly staff.. I was disappointed that the pool had been drained and the fountain was no longer running. We wouldn't have gone swimming, but it's nice to sit by the pool and fountain and have a drink in the evening.."
46,46,Hotel Anna-Kristina,"Great location, 50m from the Danube and 10 mins walk from the fortress of Baba Vida.  Room was immaculate. Good breakfast..",Nothing..,9.0,"Great location, 50m from the Danube and 10 mins walk from the fortress of Baba Vida.  Room was immaculate. Good breakfast.. Nothing.."
47,47,Hotel Anna-Kristina,Where is placed.,,9.0,Where is placed. 
48,48,Hotel Anna-Kristina,"The location is perfect - it's a nice walk from everything that's worth seeing and visiting in Vidin. Very close to the railway station, too. The hotel building looks great. The double economy room was smallish but comfortable enough and very clean. There is a swimming pool with a bar right next to it..",Breakfast was pretty basic. The toaster didn't work properly. No other complaints..,8.0,"The location is perfect - it's a nice walk from everything that's worth seeing and visiting in Vidin. Very close to the railway station, too. The hotel building looks great. The double economy room was smallish but comfortable enough and very clean. There is a swimming pool with a bar right next to it.. Breakfast was pretty basic. The toaster didn't work properly. No other complaints.."
49,49,Hotel Anna-Kristina,"Fantastic location, great value for money.","All was good, would stay again if in the area,.",9.0,"Fantastic location, great value for money. All was good, would stay again if in the area,."
50,50,Hotel Anna-Kristina,"I liked the pool the most - it was clean, warm and well-sized for all the visitors. Facilities near the pool were of great quality as well. Hotel itself is clean, situated in a well-preserved old building of cultural importance. Air-conditioning working properly, towels and sheets were extremely white. Parking is private, location in the city garden is astonishing. Friendly staff and fine breakfast :).","Guests in the rooms facing the car park can definitely hear all the sounds from the front part of the hotel and the car park, in particular..Second downside was the unpleasant smell in the bathroom coming from the sewerage system and clearly indicated a lack of proper functioning of the drainage and water supplies..",7.0,"I liked the pool the most - it was clean, warm and well-sized for all the visitors. Facilities near the pool were of great quality as well. Hotel itself is clean, situated in a well-preserved old building of cultural importance. Air-conditioning working properly, towels and sheets were extremely white. Parking is private, location in the city garden is astonishing. Friendly staff and fine breakfast :). Guests in the rooms facing the car park can definitely hear all the sounds from the front part of the hotel and the car park, in particular..Second downside was the unpleasant smell in the bathroom coming from the sewerage system and clearly indicated a lack of proper functioning of the drainage and water supplies.."
51,51,Hotel Anna-Kristina,"The hotel is an amazing historical building and the location will blow you away, plenty of restaurants in the area. I would call this a hidden gem, you will not believe it when aproaching..",The roads haha but this is irrelevant in Bulgaria.,10.0,"The hotel is an amazing historical building and the location will blow you away, plenty of restaurants in the area. I would call this a hidden gem, you will not believe it when aproaching.. The roads haha but this is irrelevant in Bulgaria."
52,52,Hotel Anna-Kristina,Excellent Location close to the river. Clean and maintained rooms. Interesting architecture of the building..,,10.0,Excellent Location close to the river. Clean and maintained rooms. Interesting architecture of the building.. 
53,53,Hotel Anna-Kristina,,.Disliked  · It was rather noisy on Saturday night..,10.0, .Disliked  · It was rather noisy on Saturday night..
54,54,Hotel Anna-Kristina,Nice place with pool the staff was very hospitable and very knowledgeable. we got a lot of information and guidance.,,10.0,Nice place with pool the staff was very hospitable and very knowledgeable. we got a lot of information and guidance. 
55,55,Hotel Anna-Kristina,"The hotel was excellent as was the location,rooms were clean and spacious the staff friendly and the buffet breakfast was very good..",,10.0,"The hotel was excellent as was the location,rooms were clean and spacious the staff friendly and the buffet breakfast was very good.. "
56,56,Hotel Anna-Kristina,"All of it! This was our 4th visit and the hotel ticks all of the boxes. It's a little gem on The Danube!! Location was excellent, staff very friendly and helpful, the room was quiet and clean, the breakfast was straight forward and tasty..",Nothing..,10.0,"All of it! This was our 4th visit and the hotel ticks all of the boxes. It's a little gem on The Danube!! Location was excellent, staff very friendly and helpful, the room was quiet and clean, the breakfast was straight forward and tasty.. Nothing.."
57,57,Hotel Anna-Kristina,Everything was excellemt. Even we arived late we could swim in a very confortable outside swimming pool! Very nice receptionists!.,,10.0,Everything was excellemt. Even we arived late we could swim in a very confortable outside swimming pool! Very nice receptionists!. 
58,58,Hotel Anna-Kristina,"Clean and comfortable place, Very nice stuff..",,9.0,"Clean and comfortable place, Very nice stuff.. "
59,59,Hotel Anna-Kristina,"I have over 50+ reviews, but only this has maximum points. The room is VERY CLEAN!! The pool is great and the food at the terrace is very good. Breakfast is very good! It has a private parking. Fantastic for this price.1.","I would recommend a shower cabin, and also I did not get one big bed( we stayd in 2 small beds).",10.0,"I have over 50+ reviews, but only this has maximum points. The room is VERY CLEAN!! The pool is great and the food at the terrace is very good. Breakfast is very good! It has a private parking. Fantastic for this price.1. I would recommend a shower cabin, and also I did not get one big bed( we stayd in 2 small beds)."
60,60,Hotel Anna-Kristina,"Great place on the river, fabulous pool..",Mosquitoes.,9.0,"Great place on the river, fabulous pool.. Mosquitoes."
61,61,Hotel Anna-Kristina,"The lokation, the facilities, the food..",,8.0,"The lokation, the facilities, the food.. "
62,62,Hotel Anna-Kristina,Great selection of fresh fish and meats. Beer was excellent..,,9.0,Great selection of fresh fish and meats. Beer was excellent.. 
63,63,Hotel Anna-Kristina,Good location.,Very small room if you get the top floor.,7.0,Good location. Very small room if you get the top floor.
64,64,Hotel Anna-Kristina,It was in a great location next to the Danube river and not far from the castle - very easy to walk around.  The hotel itself was interesting architecture and the pool was very much appreciated..,The ensuite bathroom was nice but a bit tight....very modern though..,8.0,It was in a great location next to the Danube river and not far from the castle - very easy to walk around.  The hotel itself was interesting architecture and the pool was very much appreciated.. The ensuite bathroom was nice but a bit tight....very modern though..
65,65,Hotel Anna-Kristina,Location Excellent due to proximity with Romanian Border. Pool was really excellent. Food Quality and Portion size was great. A very good experience and would recommend..,"Being close to the river meant there were quite a lot of Mosquitos, luckily confined to the outside area in the evenings. The changing and toilet facilities near pool were rather primitive..",8.0,"Location Excellent due to proximity with Romanian Border. Pool was really excellent. Food Quality and Portion size was great. A very good experience and would recommend.. Being close to the river meant there were quite a lot of Mosquitos, luckily confined to the outside area in the evenings. The changing and toilet facilities near pool were rather primitive.."
66,66,Hotel Anna-Kristina,Five star restaurant with very delicious cuisines..Room and equipment - ancient look.Swimming pool.,Second bed was terrible.,9.0,Five star restaurant with very delicious cuisines..Room and equipment - ancient look.Swimming pool. Second bed was terrible.
67,67,Hotel Anna-Kristina,"Good breakfast, good location, free parking..",Water in shower was slightly leaking towards room due to wrong floor angle in bathroom.,7.0,"Good breakfast, good location, free parking.. Water in shower was slightly leaking towards room due to wrong floor angle in bathroom."
68,68,Hotel Anna-Kristina,"Hotel is located in large park, neer Danube river and Baba Vida fortress. Quiet place, private parking, good breakfest..",,10.0,"Hotel is located in large park, neer Danube river and Baba Vida fortress. Quiet place, private parking, good breakfest.. "
69,69,Hotel Anna-Kristina,"Lokation, service.",,9.0,"Lokation, service. "
70,70,Hotel Anna-Kristina,The hotel is very conveniently located near the Danube and the castle on a quiet street. It has a restaurant where you can dine until late evening. The staff speaks English..,,10.0,The hotel is very conveniently located near the Danube and the castle on a quiet street. It has a restaurant where you can dine until late evening. The staff speaks English.. 
71,71,Hotel Anna-Kristina,"Excellent swimming pool, good breakfast.",,9.0,"Excellent swimming pool, good breakfast. "
72,72,Hotel Anna-Kristina,"Great location eat the river, parkland and riverside restaurants, but a short walk to the town centre. The pool is fabulous, good breakfast and lovely staff. The building is a renovated bath house and retains all the style..",Nothing.,10.0,"Great location eat the river, parkland and riverside restaurants, but a short walk to the town centre. The pool is fabulous, good breakfast and lovely staff. The building is a renovated bath house and retains all the style.. Nothing."
73,73,Hotel Anna-Kristina,"Great location, lovely property, rooms comfortable, our only gripe was the staff in the restaurant took forever to come back and take an order so we left.","The attention to detail with regards to looking after customers in the restaurant and better coffee, to be fair though I did not like any of the coffee in Bulgaria.",9.0,"Great location, lovely property, rooms comfortable, our only gripe was the staff in the restaurant took forever to come back and take an order so we left. The attention to detail with regards to looking after customers in the restaurant and better coffee, to be fair though I did not like any of the coffee in Bulgaria."
74,74,Hotel Anna-Kristina,"Great location, best place to stay, in the middle of the park.",We were the only tourists. Is seemed without energy..,8.0,"Great location, best place to stay, in the middle of the park. We were the only tourists. Is seemed without energy.."
75,75,Hotel Anna-Kristina,The location is perfect!.,,9.0,The location is perfect!. 
76,76,Hotel Anna-Kristina,The historic refurbished hotel is located as good as possible: on the side of the park that is adjacent to the promede of the wonderful  Danube River..The hotel has enough parking places..,"Although we actually did not need it, we did not know that there was no elevator in the hotel (which is understandable, since it is a historic building)..We were not able to find out, who Anna-Kristina used to be. :-).",9.0,"The historic refurbished hotel is located as good as possible: on the side of the park that is adjacent to the promede of the wonderful  Danube River..The hotel has enough parking places.. Although we actually did not need it, we did not know that there was no elevator in the hotel (which is understandable, since it is a historic building)..We were not able to find out, who Anna-Kristina used to be. :-)."
77,77,Hotel Anna-Kristina,It was a lovely building. Tastefully decorated. Right on the bank of the River..,When we had showers the whole of the bathroom floor became flooded..,10.0,It was a lovely building. Tastefully decorated. Right on the bank of the River.. When we had showers the whole of the bathroom floor became flooded..
78,78,Hotel Anna-Kristina,"The hotel was near the river. The staff was polite, the food was okay..","Housekeeper went in our room without me putting the “clean me” sigh in front of the door. I’ve lost a precious thing this day... you see I’ve got a slim green cigarette which was missing.i guess the housekeeper threw it out..It was kind of a bummer...  my joint never caused anyone’s harm. .I at lest hope the housekeeper smoke it, so the joint could fulfill his destiny!.",9.0,"The hotel was near the river. The staff was polite, the food was okay.. Housekeeper went in our room without me putting the “clean me” sigh in front of the door. I’ve lost a precious thing this day... you see I’ve got a slim green cigarette which was missing.i guess the housekeeper threw it out..It was kind of a bummer...  my joint never caused anyone’s harm. .I at lest hope the housekeeper smoke it, so the joint could fulfill his destiny!."
79,79,Hotel Anna-Kristina,the staff.the place .the price.the location.,there should be more hangers in the drawers  and shelves in the bathroom for towels and bottles soaps.there wasnt any bath curtain for the shower so the floor was slippery.,10.0,the staff.the place .the price.the location. there should be more hangers in the drawers  and shelves in the bathroom for towels and bottles soaps.there wasnt any bath curtain for the shower so the floor was slippery.
80,80,Hotel Anna-Kristina,Location on Danube River promenade.  Historic building. Breakfast included.,Room was not cleaned when we arrived at our scheduled time..,9.0,Location on Danube River promenade.  Historic building. Breakfast included. Room was not cleaned when we arrived at our scheduled time..
81,81,Hotel Anna-Kristina,"Best location, authentic building, comfort room, warm welcoming with private parking..",,9.0,"Best location, authentic building, comfort room, warm welcoming with private parking.. "
82,82,Hotel Anna-Kristina,"The location of the hotel is great, right next to the park along the Danube and walking distance to the Baba Vida fort. We stayed in one of the apartments, which was nice and clean with a recently remodeled bath.  The included breakfast buffet was good. The pool area looked lovely but it was empty - I guess it's because it was late April..","The room ceiling was attic-type sloping and we are tall, so there was a very small part of the room where we could stand comfortably. We had to kinda stoop in the rest of the room..",8.0,"The location of the hotel is great, right next to the park along the Danube and walking distance to the Baba Vida fort. We stayed in one of the apartments, which was nice and clean with a recently remodeled bath.  The included breakfast buffet was good. The pool area looked lovely but it was empty - I guess it's because it was late April.. The room ceiling was attic-type sloping and we are tall, so there was a very small part of the room where we could stand comfortably. We had to kinda stoop in the rest of the room.."
