,Unnamed: 0,Hotel,Liked,Disliked,Score,Combined comment
10,10,Апартамент Трапезица,,".“The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind.”.",9.0," .“The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind.”."
11,11,Апартамент Трапезица,,.“Clean and comfortable apartment. Located in a newly built apartment building. Nearby there is a grocery store and a bank. The host was very kind and gave us useful information about the places where we can dine and the events that take place in the city.”.,10.0, .“Clean and comfortable apartment. Located in a newly built apartment building. Nearby there is a grocery store and a bank. The host was very kind and gave us useful information about the places where we can dine and the events that take place in the city.”.
12,12,Апартамент Трапезица,,".“A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :)”.",10.0," .“A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :)”."
13,13,Апартамент Трапезица,,".“great location, host was very helpful and friendly. willing to accommodate us and to work around our arrival/departure times.”.",10.0," .“great location, host was very helpful and friendly. willing to accommodate us and to work around our arrival/departure times.”."
14,14,Апартамент Трапезица,,.“The apartment is new. We found there everything we needed (2 families: 4 adults and 3 kids). Great location with a very nice park near by. The host is very nice and speaks English very well. I recommend it.”.,10.0, .“The apartment is new. We found there everything we needed (2 families: 4 adults and 3 kids). Great location with a very nice park near by. The host is very nice and speaks English very well. I recommend it.”.
15,15,Апартамент Трапезица,,.“Apartamentul este situat intr-un complex moder. Este un apartament foarte mare cu tot ce iti trebuie. Ideal pentru una sau doua familii.”“The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families.”.,10.0, .“Apartamentul este situat intr-un complex moder. Este un apartament foarte mare cu tot ce iti trebuie. Ideal pentru una sau doua familii.”“The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families.”.
16,16,Апартамент Трапезица,,".“Изключително комфортен апартамент, с всички удобства. Много стилно обзаведен с нюанс към малките детайли и цветово съчетание на интериора. Домакинът беше много отзивчив и дори се настанихме по-рано от заявения час. Престоят ни беше чудесен.”“Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time.”.",10.0," .“Изключително комфортен апартамент, с всички удобства. Много стилно обзаведен с нюанс към малките детайли и цветово съчетание на интериора. Домакинът беше много отзивчив и дори се настанихме по-рано от заявения час. Престоят ни беше чудесен.”“Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time.”."
17,17,Апартамент Трапезица,,".“Апартамента е много чист и удобен. В близост има всичко необходимо. Добре оборудван е, съдомиялната върши чудесна работа. Освен това е газифициран, нов е, и е отлично поддържан. Силно препоръчвам 😊”“The apartment is very clean and comfortable. All the necessary amenities are nearby. It's well-equipped, the dishwasher does a great job. It's also gasified, new, and well-maintained. I strongly recommend 😊”.",10.0," .“Апартамента е много чист и удобен. В близост има всичко необходимо. Добре оборудван е, съдомиялната върши чудесна работа. Освен това е газифициран, нов е, и е отлично поддържан. Силно препоръчвам 😊”“The apartment is very clean and comfortable. All the necessary amenities are nearby. It's well-equipped, the dishwasher does a great job. It's also gasified, new, and well-maintained. I strongly recommend 😊”."
18,18,Апартамент Трапезица,The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families.,,10.0,The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families. 
19,19,Апартамент Трапезица,"Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time.",,9.0,"Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time. "
20,20,Апартамент Трапезица,,".“The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind.”.",10.0," .“The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind.”."
21,21,Апартамент Трапезица,,.“Clean and comfortable apartment. Located in a newly built apartment building. Nearby there is a grocery store and a bank. The host was very kind and gave us useful information about the places where we can dine and the events that take place in the city.”.,9.0, .“Clean and comfortable apartment. Located in a newly built apartment building. Nearby there is a grocery store and a bank. The host was very kind and gave us useful information about the places where we can dine and the events that take place in the city.”.
22,22,Апартамент Трапезица,,".“A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :)”.",10.0," .“A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :)”."
23,23,Апартамент Трапезица,,".“great location, host was very helpful and friendly. willing to accommodate us and to work around our arrival/departure times.”.",10.0," .“great location, host was very helpful and friendly. willing to accommodate us and to work around our arrival/departure times.”."
24,24,Апартамент Трапезица,,.“The apartment is new. We found there everything we needed (2 families: 4 adults and 3 kids). Great location with a very nice park near by. The host is very nice and speaks English very well. I recommend it.”.,10.0, .“The apartment is new. We found there everything we needed (2 families: 4 adults and 3 kids). Great location with a very nice park near by. The host is very nice and speaks English very well. I recommend it.”.
25,25,Апартамент Трапезица,,.“Apartamentul este situat intr-un complex moder. Este un apartament foarte mare cu tot ce iti trebuie. Ideal pentru una sau doua familii.”“The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families.”.,10.0, .“Apartamentul este situat intr-un complex moder. Este un apartament foarte mare cu tot ce iti trebuie. Ideal pentru una sau doua familii.”“The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families.”.
26,26,Апартамент Трапезица,,".“Изключително комфортен апартамент, с всички удобства. Много стилно обзаведен с нюанс към малките детайли и цветово съчетание на интериора. Домакинът беше много отзивчив и дори се настанихме по-рано от заявения час. Престоят ни беше чудесен.”“Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time.”.",10.0," .“Изключително комфортен апартамент, с всички удобства. Много стилно обзаведен с нюанс към малките детайли и цветово съчетание на интериора. Домакинът беше много отзивчив и дори се настанихме по-рано от заявения час. Престоят ни беше чудесен.”“Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time.”."
27,27,Апартамент Трапезица,,".“Апартамента е много чист и удобен. В близост има всичко необходимо. Добре оборудван е, съдомиялната върши чудесна работа. Освен това е газифициран, нов е, и е отлично поддържан. Силно препоръчвам 😊”“The apartment is very clean and comfortable. All the necessary amenities are nearby. It's well-equipped, the dishwasher does a great job. It's also gasified, new, and well-maintained. I strongly recommend 😊”.",8.0," .“Апартамента е много чист и удобен. В близост има всичко необходимо. Добре оборудван е, съдомиялната върши чудесна работа. Освен това е газифициран, нов е, и е отлично поддържан. Силно препоръчвам 😊”“The apartment is very clean and comfortable. All the necessary amenities are nearby. It's well-equipped, the dishwasher does a great job. It's also gasified, new, and well-maintained. I strongly recommend 😊”."
28,30,Chamurkov Guest House,"Very nice studio, clean, set in a nice garden. Comfortable and well taken care of. Helpful owners. Good value for money..","Not the property`s fault, but the neighborhood dog barked all night, making me lose sleep..",9.0,"Very nice studio, clean, set in a nice garden. Comfortable and well taken care of. Helpful owners. Good value for money.. Not the property`s fault, but the neighborhood dog barked all night, making me lose sleep.."
29,31,Chamurkov Guest House,,".Disliked  · The bathroom was missing the hooks for the towels. Everything else was well organized. .The air was not very fresh, so I had to keep my window and the entrance door open. Having this studio inside of the courtyard, it felt ok sleeping with the open door, but it should not be the case....",8.0," .Disliked  · The bathroom was missing the hooks for the towels. Everything else was well organized. .The air was not very fresh, so I had to keep my window and the entrance door open. Having this studio inside of the courtyard, it felt ok sleeping with the open door, but it should not be the case...."
30,32,Chamurkov Guest House,Nice garden.,Small bathrooms.,9.0,Nice garden. Small bathrooms.
31,33,Chamurkov Guest House,"Host Lazar very nice, helpful and friendly. Family property.",,9.0,"Host Lazar very nice, helpful and friendly. Family property. "
32,34,Chamurkov Guest House,"The outside garden. Really really nice! Host was nice, rooms were clean, facilities were all there. Very quiet, very discreet, isolated. Would definitely recommend..","The two bedroom suite we stayed in had very old furniture, the twin beds were separate and unstable, yet somewhat comfy. This will improve in time, I'm sure..",8.0,"The outside garden. Really really nice! Host was nice, rooms were clean, facilities were all there. Very quiet, very discreet, isolated. Would definitely recommend.. The two bedroom suite we stayed in had very old furniture, the twin beds were separate and unstable, yet somewhat comfy. This will improve in time, I'm sure.."
33,35,Chamurkov Guest House,I really liked the location of the house as well as the design and the vibe of the yard..,I did not like the cleanliness and utility of one of the rooms (the one with the separated  beds)..,8.0,I really liked the location of the house as well as the design and the vibe of the yard.. I did not like the cleanliness and utility of one of the rooms (the one with the separated  beds)..
34,36,Chamurkov Guest House,TV receiver did not work in one of the rooms. No hot water?!.,"Calm, nice area, well built and decorated..",8.0,"TV receiver did not work in one of the rooms. No hot water?!. Calm, nice area, well built and decorated.."
35,37,Chamurkov Guest House,Everything was perfect.The house is great and the host is very polite and helpful!.,,10.0,Everything was perfect.The house is great and the host is very polite and helpful!. 
36,38,Chamurkov Guest House,Beautiful garden and peaceful place very close to Veliko Tarnovo. Nice host.,The mattress was sinking so it was not comfortable..,9.0,Beautiful garden and peaceful place very close to Veliko Tarnovo. Nice host. The mattress was sinking so it was not comfortable..
37,39,Chamurkov Guest House,"We spent one night at the gueshouse on Saturday in transit. The overall impression was positive, nice green garden and swings to have some relaxation. The property is well taken care of. The rooms were nicely decorated in a charming country style. The king size bed was very comfortable. The rooms were clean. The guesthouse was full with a Bulgarian crowd who were spending their weekend (self-catering)..","Some tips: the village is remote, so if you arrive late at night like we did (driving for 12 hours), there is absolutely no beverage or food served at the gueshouse or in the village. You would have to drive several km back to Veliko Tirnovo to have some food (even water). The young lady that is taking care of the house was nice and 'found' a cup of coffee for me the next morning. We would recommend the owners to make available some bottles of drinking water, tea, coffee for late night guests like us..",8.0,"We spent one night at the gueshouse on Saturday in transit. The overall impression was positive, nice green garden and swings to have some relaxation. The property is well taken care of. The rooms were nicely decorated in a charming country style. The king size bed was very comfortable. The rooms were clean. The guesthouse was full with a Bulgarian crowd who were spending their weekend (self-catering).. Some tips: the village is remote, so if you arrive late at night like we did (driving for 12 hours), there is absolutely no beverage or food served at the gueshouse or in the village. You would have to drive several km back to Veliko Tirnovo to have some food (even water). The young lady that is taking care of the house was nice and 'found' a cup of coffee for me the next morning. We would recommend the owners to make available some bottles of drinking water, tea, coffee for late night guests like us.."
38,40,Chamurkov Guest House,"Very nice appartment, clean and spaceious. Nice host with lots of helpful information..",,9.0,"Very nice appartment, clean and spaceious. Nice host with lots of helpful information.. "
39,41,Chamurkov Guest House,"The size of the studio and the quirky design ideas:) The beautiful, very well landscaped back yard and the peaceful, yet convenient location..",No hooks in the bathroom and only one large towel per guest..,10.0,"The size of the studio and the quirky design ideas:) The beautiful, very well landscaped back yard and the peaceful, yet convenient location.. No hooks in the bathroom and only one large towel per guest.."
40,42,Chamurkov Guest House,It was totaly amazing!.,,10.0,It was totaly amazing!. 
41,43,Chamurkov Guest House,"I enjoyed the studio, the garden was really awesome..Also the host was really friendly, it was a pleasure to be there, even if it was just for one day..For sure we will come back here with some of our friends..",,10.0,"I enjoyed the studio, the garden was really awesome..Also the host was really friendly, it was a pleasure to be there, even if it was just for one day..For sure we will come back here with some of our friends.. "
42,44,Chamurkov Guest House,"Location is great, everything you need for two-three days with your friends - great garden, barbeque, very quiet and private..The 2 bedroom suit spacious and beautifully furnished!.","Kinda far from the city, you need a car to go everywhere, but it.s not taking you by surprise, you already know that when you choose to go there..",8.0,"Location is great, everything you need for two-three days with your friends - great garden, barbeque, very quiet and private..The 2 bedroom suit spacious and beautifully furnished!. Kinda far from the city, you need a car to go everywhere, but it.s not taking you by surprise, you already know that when you choose to go there.."
43,45,Chamurkov Guest House,"Everything else was amazing. Lazar was super-nice, showed us alot of nice places to go to, touristic attractions as well as good restaurants. The little studio is wonderfully refurbished, decorated în a boho-chic style, super confortable and well equipped. The location is very quiet, with a large garden, very pretty. This is clearly a very good place for large groups of friends or families, going together în vacation. The host really put an effort în making this place super-cozy and cute. We were on a 2 Day City-break în Veliko Tărnovo and this was certainly the perfect choice for a good night sleep between those days. Thank you, Lazar!.","It was a bit cold, heat is provided by the air conditioned only, no radiator, so, ar night, when it's cold outside, like 2°C or so, it's a bit cold inside too. Even colder in the bathroom, where the air conditioned heat doesn't reach. There was an extra blanket, though, so that helped alot..",9.0,"Everything else was amazing. Lazar was super-nice, showed us alot of nice places to go to, touristic attractions as well as good restaurants. The little studio is wonderfully refurbished, decorated în a boho-chic style, super confortable and well equipped. The location is very quiet, with a large garden, very pretty. This is clearly a very good place for large groups of friends or families, going together în vacation. The host really put an effort în making this place super-cozy and cute. We were on a 2 Day City-break în Veliko Tărnovo and this was certainly the perfect choice for a good night sleep between those days. Thank you, Lazar!. It was a bit cold, heat is provided by the air conditioned only, no radiator, so, ar night, when it's cold outside, like 2°C or so, it's a bit cold inside too. Even colder in the bathroom, where the air conditioned heat doesn't reach. There was an extra blanket, though, so that helped alot.."
44,46,Chamurkov Guest House,"We were greeted by a lovely lady who had made sure that it was perfectly cleaned, cozy and comfortable. Admiration for the lovely courtyard and garden. Excellent, well-maintained space!",,10.0,"We were greeted by a lovely lady who had made sure that it was perfectly cleaned, cozy and comfortable. Admiration for the lovely courtyard and garden. Excellent, well-maintained space! "
45,47,Chamurkov Guest House,"Unique setting and well-maintained property, great service. You're not far from Tarnovo, but you're quiet outside the city.",We have no objections.,10.0,"Unique setting and well-maintained property, great service. You're not far from Tarnovo, but you're quiet outside the city. We have no objections."
46,48,Chamurkov Guest House,"Great location, trying to renovate the old house very interesting, also the furniture, but there is still a lot to do.",Sewerage problems,8.0,"Great location, trying to renovate the old house very interesting, also the furniture, but there is still a lot to do. Sewerage problems"
47,49,Chamurkov Guest House,In the heart of nature,"Old, worn-out mattresses",8.0,"In the heart of nature Old, worn-out mattresses"
48,50,Chamurkov Guest House,"Air conditioning, wifi, beautiful garden, the child enjoyed the pool, quiet, welcoming host, close to town",I didn't have hot water. The moment coupled but nothing. The bed creaked every time I moved.,9.0,"Air conditioning, wifi, beautiful garden, the child enjoyed the pool, quiet, welcoming host, close to town I didn't have hot water. The moment coupled but nothing. The bed creaked every time I moved."
49,51,Chamurkov Guest House,"Pool in the courtyard and a kind of terrace covered with grapes. Very shady place, pleasant to sit outside.",,9.0,"Pool in the courtyard and a kind of terrace covered with grapes. Very shady place, pleasant to sit outside. "
50,52,Chamurkov Guest House,"Beautiful garden, Quiet, a place where you can relax, Close to the town of Veliko Tarnovo, the welcoming host.",The pool was filled on the day of our arrival. It could not be used until the next afternoon. Smell of the old house in the rooms. These have not been aired before.,8.0,"Beautiful garden, Quiet, a place where you can relax, Close to the town of Veliko Tarnovo, the welcoming host. The pool was filled on the day of our arrival. It could not be used until the next afternoon. Smell of the old house in the rooms. These have not been aired before."
51,53,Chamurkov Guest House,"Everything was perfect. .The perfect place to relax with kids. Quiet, clean and comfortable. Lots of greenery with a lovely garden I'm just sorry we didn't have time to stay for more time... we sure would like to go back for more time and enjoy the place.",,10.0,"Everything was perfect. .The perfect place to relax with kids. Quiet, clean and comfortable. Lots of greenery with a lovely garden I'm just sorry we didn't have time to stay for more time... we sure would like to go back for more time and enjoy the place. "
52,54,Chamurkov Guest House,"It was great, great staff and great rooms!",,10.0,"It was great, great staff and great rooms! "
53,55,Chamurkov Guest House,Welcome. The small pool. The rustic charm and calm of the place. The small terrace under the vine. The two bathrooms and the two toilets. Good wifi. 2 TVs..A real haven of peace. The owners are adorable. Thank you for this stay.,A bit far from the old town. 15 minutes by car. Supermarket 5 kms.,10.0,Welcome. The small pool. The rustic charm and calm of the place. The small terrace under the vine. The two bathrooms and the two toilets. Good wifi. 2 TVs..A real haven of peace. The owners are adorable. Thank you for this stay. A bit far from the old town. 15 minutes by car. Supermarket 5 kms.
54,56,Chamurkov Guest House,"A fantastic place to give smiles. Perfect cleanliness and detail. Thank you, sir.",,10.0,"A fantastic place to give smiles. Perfect cleanliness and detail. Thank you, sir. "
55,57,Chamurkov Guest House,,"If you're looking for peace and quiet in the village, this is your place.",10.0," If you're looking for peace and quiet in the village, this is your place."
56,58,Chamurkov Guest House,"Large house with 15 beds. On the ground floor there is a large dining / living room. Three bathrooms, multimedia, barbecue, fireplace. Very hospitable hosts.","The house is located in a village near Veliko Tarnovo. There are signs in the village, but they are not immediately noticeable ...",10.0,"Large house with 15 beds. On the ground floor there is a large dining / living room. Three bathrooms, multimedia, barbecue, fireplace. Very hospitable hosts. The house is located in a village near Veliko Tarnovo. There are signs in the village, but they are not immediately noticeable ..."
57,59,Chamurkov Guest House,"The studio is super stylish and comfortable, the yard is big and well-kept!",,10.0,"The studio is super stylish and comfortable, the yard is big and well-kept! "
58,60,Chamurkov Guest House,The owner took the time to explain everything about the area. The guest house is nice and quiet. Quick access to Veliko Tarnovo. We had a pleasant stay.,Kitchen area and dishes quite limited. There is no sink it's just for breakfast.,9.0,The owner took the time to explain everything about the area. The guest house is nice and quiet. Quick access to Veliko Tarnovo. We had a pleasant stay. Kitchen area and dishes quite limited. There is no sink it's just for breakfast.
59,61,Chamurkov Guest House,"The garden was very well-maintained, the landlord was very well-intentioned and funny. The design of the house is unique and there have been many improvements since last year. I definitely liked it.",,10.0,"The garden was very well-maintained, the landlord was very well-intentioned and funny. The design of the house is unique and there have been many improvements since last year. I definitely liked it. "
60,62,Chamurkov Guest House,"Extraordinary! Comfortable and relaxing. Tasteful and functional studio design in vitange style. Note the concern of the host to ensure a pleasant stay, with all the conditions as described on the booking. Thank you! We will gladly return.",-,10.0,"Extraordinary! Comfortable and relaxing. Tasteful and functional studio design in vitange style. Note the concern of the host to ensure a pleasant stay, with all the conditions as described on the booking. Thank you! We will gladly return. -"
61,63,Chamurkov Guest House,"Comfortable bed, wide and clean bathroom, all necessary amenities in the studio.",,8.0,"Comfortable bed, wide and clean bathroom, all necessary amenities in the studio. "
62,64,Chamurkov Guest House,"A quiet location, very practicable to stay and visit the surroundings. The helpful and welcoming owner why we returned for another weekend.",,10.0,"A quiet location, very practicable to stay and visit the surroundings. The helpful and welcoming owner why we returned for another weekend. "
63,65,Chamurkov Guest House,"Nature, size and traditional houses",Very nice in nature,8.0,"Nature, size and traditional houses Very nice in nature"
64,66,Chamurkov Guest House,"Very nice house in the quiet countryside, with terrace.",,7.0,"Very nice house in the quiet countryside, with terrace. "
65,67,Chamurkov Guest House,Very nice setting.,,,
66,.Picturesque setting.,,,,,
67,.Swimming pool,It lacks enough things to put things in the bathroom but it is a detail for improvement.,8.8,Very nice setting.,,
68,.Picturesque setting.,,,,,
69,.Swimming pool It lacks enough things to put things in the bathroom but it is a detail for improvement.,,,,,
70,68,Chamurkov Guest House,The location is excellent. The scenery and the garden were wonderful. The children enjoyed the pool.,Microwave oven and water heater not working. The bathroom smelled really bad.,8.0,The location is excellent. The scenery and the garden were wonderful. The children enjoyed the pool. Microwave oven and water heater not working. The bathroom smelled really bad.
71,69,Chamurkov Guest House,Beautiful place,,10.0,Beautiful place 
72,70,Chamurkov Guest House,"Original house, pleasant garden, shaded.",,9.0,"Original house, pleasant garden, shaded. "
73,71,Chamurkov Guest House,"Beautiful property, stylishly furnished rooms. Super host, well-functioning Internet. Pool, sun loungers, grass and beautiful flowers. Nothing else is needed.",,10.0,"Beautiful property, stylishly furnished rooms. Super host, well-functioning Internet. Pool, sun loungers, grass and beautiful flowers. Nothing else is needed. "
74,72,Chamurkov Guest House,"Beautiful garden, quiet, a place where you can relax, very close to the town of Veliko Tarnovo, the welcoming host.",-,9.0,"Beautiful garden, quiet, a place where you can relax, very close to the town of Veliko Tarnovo, the welcoming host. -"
75,73,Chamurkov Guest House,"The grass is well organized, you can lie on the grass at night and enjoy the starry sky",,9.0,"The grass is well organized, you can lie on the grass at night and enjoy the starry sky "
76,74,Chamurkov Guest House,"The location is very nice, quiet area, 10 minutes from downtown.",The heating system in the room and bathroom is not the most suitable,8.0,"The location is very nice, quiet area, 10 minutes from downtown. The heating system in the room and bathroom is not the most suitable"
77,75,Chamurkov Guest House,It's a nice place. I recommend all those who like the comforts of home.,,10.0,It's a nice place. I recommend all those who like the comforts of home. 
78,76,Chamurkov Guest House,"The courtyard and the stone wall in the entrance hall, as well as the bathroom air freshener😊",Just one note - the curtains are slightly torn and transparent (who is in the courtyard perfectly seeing what is happening in your room) and the windows need to be cleaned out of cobwebs!,7.0,"The courtyard and the stone wall in the entrance hall, as well as the bathroom air freshener😊 Just one note - the curtains are slightly torn and transparent (who is in the courtyard perfectly seeing what is happening in your room) and the windows need to be cleaned out of cobwebs!"
79,77,Chamurkov Guest House,,Very quiet. Nice yard. Five minutes. by car from the centre of the VT,8.0, Very quiet. Nice yard. Five minutes. by car from the centre of the VT
80,78,Chamurkov Guest House,Location ameno,,7.0,Location ameno 
81,79,Chamurkov Guest House,"Two rooms, each with a private bathroom and toilet. Great yard.","There were spider webs on the corners. The buckets weren't cleaned before we did. One toilet had no toilet paper and no lights... and the windows in one room didn't open, and the other couldn't close.",5.0,"Two rooms, each with a private bathroom and toilet. Great yard. There were spider webs on the corners. The buckets weren't cleaned before we did. One toilet had no toilet paper and no lights... and the windows in one room didn't open, and the other couldn't close."
82,80,Chamurkov Guest House,"Quiet, fenced location, small children's pool, many swings and sunbathing","It hasn't been cleaned in a long time. Lots of dust, spider webs. Despite the fact that the description says that arrangements have been made and it took many years to get the building ready, it does not seem so.",6.0,"Quiet, fenced location, small children's pool, many swings and sunbathing It hasn't been cleaned in a long time. Lots of dust, spider webs. Despite the fact that the description says that arrangements have been made and it took many years to get the building ready, it does not seem so."
